symbol,state,horizon,definition,n_total,nS,rateS,p0,pS,p_control,n_controls,uplift,uplift_matched,delta,CI_low,CI_high,p_perm,nS_train,pS_train,train_uplift,nS_test,pS_test,p0_test,test_uplift,delta_test,p_control_test,n_controls_test,uplift_matched_test,weeks_positive,weeks_total,n_syms_contributing,q_fdr,flag_PASS,weekly_stable
0GUSDT,S06_compress_vol,12h,B,16848,41,0.002434,0.389008,0.536585,0.470732,410.000000,1.379370,1.139896,0.147578,0.387462,0.679440,0.119940,6.000000,0.500000,1.562952,35,0.542857,0.435666,1.246041,0.107192,0.611429,350.000000,0.887850,2.000000,4.000000,,0.864935,0,0
0GUSDT,S06_compress_vol,12h,B_adp,16848,41,0.002434,0.072709,0.000000,0.085366,410.000000,0.000000,0.000000,-0.072709,0.000000,0.085670,1.000000,6.000000,0.000000,0.000000,35,0.000000,0.032888,0.000000,-0.032888,0.102857,350.000000,0.000000,0.000000,4.000000,,1.000000,0,0
0GUSDT,S06_compress_vol,24h,A_k3.0,16704,41,0.002455,0.004909,0.000000,0.026829,410.000000,0.000000,0.000000,-0.004909,0.000000,0.085670,1.000000,6.000000,0.000000,0.000000,35,0.000000,0.007879,0.000000,-0.007879,0.011429,350.000000,0.000000,0.000000,4.000000,,1.000000,0,0
0GUSDT,S06_compress_vol,24h,A_k4.0,16704,41,0.002455,0.000838,0.000000,0.000000,410.000000,0.000000,0.000000,-0.000838,0.000000,0.085670,1.000000,6.000000,0.000000,0.000000,35,0.000000,0.001870,0.000000,-0.001870,0.000000,350.000000,0.000000,0.000000,4.000000,,1.000000,0,0
0GUSDT,S06_compress_vol,24h,B,16704,41,0.002455,0.365302,0.414634,0.426829,410.000000,1.135046,0.971429,0.049332,0.277563,0.566332,0.008496,6.000000,0.500000,1.512076,35,0.400000,0.370326,1.080130,0.029674,0.560000,350.000000,0.714286,2.000000,4.000000,,0.104678,0,0
0GUSDT,S06_compress_vol,24h,B_adp,16704,41,0.002455,0.078963,0.000000,0.073171,410.000000,0.000000,0.000000,-0.078963,0.000000,0.085670,1.000000,6.000000,0.000000,0.000000,35,0.000000,0.034188,0.000000,-0.034188,0.048571,350.000000,0.000000,0.000000,4.000000,,1.000000,0,0
0GUSDT,S07_compress_oi,12h,A_k3.0,16848,18,0.001068,0.000950,0.000000,0.000000,180.000000,0.000000,0.000000,-0.000950,0.000000,0.175885,1.000000,6.000000,0.000000,0.000000,12,0.000000,0.002096,0.000000,-0.002096,0.000000,120.000000,0.000000,0.000000,2.000000,,1.000000,0,0
0GUSDT,S07_compress_oi,12h,A_k4.0,16848,18,0.001068,0.000000,0.000000,0.000000,180.000000,0.000000,0.000000,0.000000,0.000000,0.175885,1.000000,6.000000,0.000000,0.000000,12,0.000000,0.000000,0.000000,0.000000,0.000000,120.000000,0.000000,0.000000,2.000000,,1.000000,0,0
0GUSDT,S07_compress_oi,12h,B,16848,18,0.001068,0.389008,0.666667,0.500000,180.000000,1.713763,1.333333,0.277659,0.437491,0.837214,0.000500,6.000000,0.000000,0.000000,12,1.000000,0.435666,2.295338,0.564334,0.525000,120.000000,1.904762,1.000000,2.000000,,0.010351,0,0
0GUSDT,S07_compress_oi,12h,B_adp,16848,18,0.001068,0.072709,0.000000,0.005556,180.000000,0.000000,0.000000,-0.072709,0.000000,0.175885,1.000000,6.000000,0.000000,0.000000,12,0.000000,0.032888,0.000000,-0.032888,0.000000,120.000000,0.000000,0.000000,2.000000,,1.000000,0,0
