signal,raw_n,raw_mean,raw_wr,raw_net,delayed_n,delayed_mean,delayed_net,delay_cost,declust_n,declust_mean,declust_net,cluster_ratio,declust_delayed_n,declust_delayed_mean,declust_delayed_net,shuffle_p,shuffle_effect_size,ci95_lo,ci95_hi,ci95_lo_profitable,effective_n,n_inflation,t_stat_raw,t_stat_adj,months_tested,months_profitable,months_pct_profitable,worst_month_net,best_month_net,monthly_sharpe,symbol,horizon_m
LINKUSDT_Idea5_spot_lead_60m,34,1100.6197337122667,73.52941176470588,1080.6197337122667,34.0,1081.5162218503451,1061.5162218503451,19.10351186192156,5.0,357.32058143520425,337.32058143520425,6.8,5.0,707.6962367550572,687.6962367550572,0.0,68.4168756211737,573.8898464238914,1734.5416469039587,True,34.0,1.0,3.588337444998799,3.588337444998799,1.0,1.0,100.0,1080.6197337122667,1080.6197337122667,,LINKUSDT,60
LINKUSDT_Idea3_high_IFR_60m,17,644.1610587417456,76.47058823529412,624.1610587417456,17.0,624.9224823215727,604.9224823215727,19.238576420172876,3.0,1674.7557124791683,1654.7557124791683,5.666666666666667,3.0,1345.1955287179915,1325.1955287179915,0.0,26.788868683623765,62.163099960504724,1346.0465891277902,True,17.0,1.0,1.8450761712356338,1.8450761712356338,2.0,2.0,100.0,273.19371727748677,646.0965175832619,1.7431790761978416,LINKUSDT,60
LINKUSDT_Idea4_BTC_pump_240m,20,1506.3375566203636,75.0,1486.3375566203636,20.0,1375.0699416126254,1355.0699416126254,131.2676150077382,10.0,673.1215701581432,653.1215701581432,2.0,10.0,569.2534742695573,549.2534742695573,0.0,35.10899189776301,689.0975300038672,2326.2618930020612,True,20.0,1.0,3.2701342515889755,3.2701342515889755,5.0,3.0,60.0,-554.5522156801985,3017.5215459836827,0.3779250092335356,LINKUSDT,240
LINKUSDT_Idea5_spot_lead_240m,34,1768.9887136706425,88.23529411764706,1748.9887136706425,34.0,1734.749335826877,1714.749335826877,34.239377843765396,5.0,728.9112719628894,708.9112719628894,6.8,5.0,1082.4314578344288,1062.4314578344288,0.0,55.835831526267505,1081.5835107064797,2546.8831866256073,True,34.0,1.0,4.591488421046813,4.591488421046813,1.0,1.0,100.0,1748.9887136706425,1748.9887136706425,,LINKUSDT,240
LINKUSDT_Idea3_high_IFR_240m,17,877.5534302108811,47.05882352941176,857.5534302108811,17.0,855.3337797574106,835.3337797574106,22.219650453470422,3.0,2120.1792476934193,2100.1792476934193,5.666666666666667,3.0,1737.3947908394582,1717.3947908394582,0.0,19.66651932834565,28.53281083264016,1929.2746279738517,True,17.0,1.0,1.7926944088745764,1.7926944088745764,2.0,1.0,50.0,-38.5259766411594,913.5583931391336,0.6498808037427947,LINKUSDT,240
ADAUSDT_Idea4_BTC_pump_30m,20,1234.6399788789531,60.0,1214.6399788789531,20.0,1018.772448847208,998.772448847208,215.8675300317451,10.0,715.104070310088,695.104070310088,2.0,10.0,508.76195725191155,488.76195725191155,0.0,78.70519924392435,394.55041662960656,2156.539919832176,True,20.0,1.0,2.7162985515753766,2.7162985515753766,5.0,3.0,60.0,-35.609768887619445,2433.8054344978186,0.479257854859292,ADAUSDT,30
ADAUSDT_Idea5_spot_lead_30m,18,2184.288404530776,94.44444444444444,2164.288404530776,18.0,2235.6847393357034,2215.6847393357034,-51.39633480492739,4.0,2214.462703711826,2194.462703711826,4.5,4.0,3214.298833888479,3194.298833888479,0.0,128.93959705537156,967.0267555923127,3777.2507061653323,True,18.0,1.0,2.9286814470560896,2.9286814470560896,1.0,1.0,100.0,2164.288404530776,2164.288404530776,,ADAUSDT,30
ADAUSDT_Idea3_high_IFR_30m,15,1071.194557115565,80.0,1051.194557115565,15.0,957.0314129440522,937.0314129440522,114.16314417151273,5.0,746.8096559393252,726.8096559393252,3.0,5.0,652.1687776160289,632.1687776160289,0.0,64.16687025676914,557.2654875942627,1599.0952311244207,True,15.0,1.0,3.8735634143197797,3.8735634143197797,4.0,3.0,75.0,-28.119079837618504,1434.9962566914483,0.490971915411222,ADAUSDT,30
ADAUSDT_Combo_spot+IFR_30m,5,1495.6782603395552,100.0,1475.6782603395552,,,,,,,,,,,,,,,,,,,,,,,,,,,ADAUSDT,30
ADAUSDT_Idea4_BTC_pump_60m,20,986.6412697489716,80.0,966.6412697489716,20.0,856.9072905091577,836.9072905091577,129.73397923981383,10.0,608.2150124260309,588.2150124260309,2.0,10.0,453.8133966370413,433.8133966370413,0.0,36.50853138132454,327.3227685575177,1717.2070303514765,True,20.0,1.0,2.592268248978538,2.592268248978538,5.0,3.0,60.0,-237.61392729134687,1938.9070397741973,0.4260280224325956,ADAUSDT,60
