pair,signal,direction,horizon_m,n_signals,mean_ret,median_ret,win_rate,net_fees,avg_corr
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb720,short_EIGE,240,10727,19.026353707423404,23.103426708848133,57.35993287964948,-20.973646292576596,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z2.5_lb720,long_EIGE,240,12189,16.16821025835778,12.879983594128452,54.688653704159485,-23.83178974164222,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb720,short_EIGE,15,4225,13.973009585236213,7.3678502658358624,55.69230769230769,-26.026990414763787,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb720,long_EIGE,15,4562,6.357375699210614,1.7033990158576984,51.97281893906182,-33.642624300789386,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb720,short_EIGE,30,4225,14.980949713714002,12.164895684116939,57.49112426035503,-25.019050286285996,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb720,long_EIGE,30,4562,5.028538712060528,2.112853944786771,51.885138097325736,-34.97146128793947,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb720,short_EIGE,60,4225,9.195385692143192,12.775031550520396,56.59171597633136,-30.80461430785681,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb720,long_EIGE,60,4562,0.8705571894157076,-0.15350021488391263,49.8903989478299,-39.129442810584294,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb720,short_EIGE,240,4225,15.027114283851578,16.55777360999312,55.31360946745563,-24.972885716148422,0.7794260835245135
EIGENUSDT/ETHFIUSDT,spread_z3.0_lb720,long_EIGE,240,4562,18.045599328129214,10.702993987793391,53.288031565103026,-21.954400671870786,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt50,short_EIGE,15,7770,10.825255250181678,8.146311218142355,55.62419562419563,-29.174744749818323,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt50,long_EIGE,15,7705,7.9053529559135365,6.1028521447092885,54.23750811161583,-32.094647044086464,0.7794260835245135
EIGENUSDT/ETHFIUSDT,momdiv_5m_gt50,short_EIGE,30,7770,12.957853699528119,11.652722408324044,56.113256113256114,-27.04214630047188,0.7794260835245135
