variant,leader_dir,fwd_horizon_m,n_followers,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
ETH_3m>30bps_lag,up,3,145,126509,2.043946427798937,0.04803402264621963,48.558591932840336,0.05366869058891233,-17.956053572201064
ETH_5m>100bps_lag,down,30,98,6403,2.0294758860941364,-0.689268765541459,50.486482220298036,0.009460105893641851,-17.970524113905864
SOL_5m>100bps,down,5,145,119255,2.0146292903346357,-10.312216472093521,43.31370909085899,0.005373332034293299,-17.985370709665364
BTC_5m>150bps_lag,down,1,2,46,2.0131963946251608,0.17377375380239757,47.99107142857143,0.18535555980890012,-17.98680360537484
SOL_3m>75bps_lag,down,3,142,10305,1.970047605020195,-1.2874410258412654,47.04488244820966,0.015754348046166516,-18.029952394979805
ETH_5m>50bps_lag,up,3,145,64379,1.9649444356551098,-0.39182300576706874,48.19453434071513,0.04451992426363167,-18.03505556434489
BTC_5m>50bps,up,1,145,265618,1.9459513425560524,-0.22896442885506652,47.297840729571924,0.03527613464480975,-18.05404865744395
SOL_5m>50bps_lag,down,10,145,97225,1.9329836013433284,-0.10683653174159041,49.037332556307064,0.001723184913820139,-18.067016398656673
SOL_3m>30bps_lag,up,5,145,224224,1.9068226131574537,-0.3585286817151419,48.0794999888079,0.04334767521368461,-18.093177386842545
SOL_5m>50bps_lag,up,5,145,111397,1.886361134409348,-0.9824799255891549,47.623866620233166,0.037376261859593106,-18.11363886559065
