signal,direction,horizon_m,n_symbols,total_signals,mean_ret_bps,median_ret_bps,mean_wr,mean_sharpe,net_fees_bps
ifr_level_gt10.0,long_momentum,5,145,875707,3.1936977414298053,-1.0975621626259666,47.55188480747391,-0.0017646129918376453,-16.806302258570195
ifr_revert_z2.0_w240,long,15,147,1892438,2.9794355696880324,1.0778724383625784,49.76629115108512,0.01634031736449056,-17.020564430311968
ifr_revert_z2.0_w60,long,15,147,1774347,2.9371062641183387,0.642855588973108,49.3922005418827,0.016432278260770348,-17.062893735881662
fr_diverge_z3.0,short,5,144,109245,2.7475308777269714,3.4732217595887964,49.982802159090866,0.0013253329977311798,-17.252469122273027
ifr_revert_z2.5_w240,short,30,147,335833,2.571129878264355,4.708983352958308,51.993408586316605,0.02279957692668274,-17.428870121735645
ifr_revert_z2.5_w240,short,60,147,335833,2.3896868028194382,6.387562040879174,52.16696093513855,0.019900503030444446,-17.61031319718056
fr_diverge_z3.0,short,15,144,109245,2.265257515116138,16.355105280245482,51.14724007692909,0.014669012298351288,-17.734742484883864
ifr_revert_z2.5_w60,short,30,147,339939,2.245054227007486,3.821663941118227,51.42798416269791,0.016919521815358947,-17.754945772992514
ifr_mom60_gt5.0,long,240,147,5766033,2.1881324576564314,-10.156168399323462,47.90051464765262,0.0012751264119054537,-17.811867542343567
ifr_revert_z2.5_w60,short,60,147,339939,2.00338471677577,5.566845830888853,51.66895803339977,0.014001611532310625,-17.99661528322423
ifr_level_gt5.0_fade,short_contrarian,60,147,1870614,1.9494360789159442,8.070061028120216,52.56870204948222,0.029205142533367708,-18.050563921084056
ifr_revert_z3.0_w240,short,30,147,186798,1.8646670226203006,5.722704053733941,52.32749929843196,0.024551809151378362,-18.1353329773797
ifr_revert_z3.0_w240,long,5,147,530752,1.7461385106193295,0.7592506884367729,49.43302738799635,0.008715435692783387,-18.25386148938067
fr_diverge_z1.5,short,5,145,498725,1.6209912331319722,2.809928410192181,50.33707863051991,0.0063978783739846185,-18.37900876686803
ifr_revert_z2.0_w60,short,15,147,748224,1.544876385445697,2.524594556127377,51.01405436117128,0.012800140490753434,-18.455123614554303
