follower,direction,horizon_m,n_signals,raw_alt_ret,raw_btc_fwd,excess_ret,beta_adj_ret,alt_already_moved,raw_net_fees,excess_net_fees,beta_adj_net_fees,raw_wr,excess_wr,lag_1m,lag_2m,lag_3m,lag_5m
BNBUSDT,up,30,20,203.02387458927217,129.79371281087066,73.23016177840152,-10.083772045903045,285.4429781231559,183.02387458927217,53.23016177840152,-30.083772045903046,65.0,65.0,,,,
BNBUSDT,down,1,15,13.42398431936939,-7.703849333397628,21.127833652767013,7.235298452732424,494.6380222330105,-6.57601568063061,1.1278336527670128,-12.764701547267576,46.666666666666664,53.333333333333336,-30.53155591253165,-4.938446123617647,-94.64547930618414,-39.92780798074125
BNBUSDT,down,3,15,-38.00078623755885,-0.9633323316777137,-37.03745390588115,-98.4151741940985,494.6380222330105,-58.00078623755885,-57.03745390588115,-118.4151741940985,33.33333333333333,46.666666666666664,-140.76039274444872,-170.11817855175676,-205.24569414285259,-99.2659342232774
BNBUSDT,down,5,15,-190.7138190056638,-12.953192249738352,-177.76062675592547,-208.62562216200647,494.6380222330105,-210.7138190056638,-197.76062675592547,-228.62562216200647,20.0,40.0,-243.1737637726107,-256.8244590651759,-262.1651042961159,-90.9492688241162
BNBUSDT,down,10,15,-224.45406677736827,-70.96305092865354,-153.49101584871477,-162.37814056220142,494.6380222330105,-244.45406677736827,-173.49101584871477,-182.37814056220142,13.333333333333334,26.666666666666668,-261.0549268290244,-241.55359664215436,-241.1322672995501,-175.63100310280043
BNBUSDT,down,15,15,-342.8543945106397,-169.29114963283862,-173.56324487780108,-118.40803643251134,494.6380222330105,-362.8543945106397,-193.56324487780108,-138.40803643251132,20.0,26.666666666666668,-375.1902958949273,-372.2594824728775,-371.44810402426776,-250.8474545267463
BNBUSDT,down,30,15,-695.4629760212767,-290.8398314579224,-404.6231445633543,-270.0785761903071,494.6380222330105,-715.4629760212767,-424.6231445633543,-290.0785761903071,6.666666666666667,26.666666666666668,,,,
BTRUSDT,up,1,19,332.49733845888915,0.08778243421825241,332.4095560246708,351.5069655064757,69.3419352203882,312.49733845888915,312.4095560246708,331.5069655064757,57.89473684210527,68.42105263157895,44.73868066790041,-30.668977002020625,227.7186077983751,115.41125837939798
BTRUSDT,up,3,19,286.9319244883865,-10.870658165935629,297.8025826543222,306.7920094527809,69.3419352203882,266.9319244883865,277.8025826543222,286.7920094527809,52.63157894736842,73.68421052631578,192.84441980799645,373.0776878537419,546.2837827302058,401.0545043363589
BTRUSDT,up,5,19,741.5981320806328,26.30798144259115,715.2901506380416,786.2332143101372,69.3419352203882,721.5981320806328,695.2901506380416,766.2332143101372,63.1578947368421,73.68421052631578,530.5976163314587,827.844652057583,871.6112575373836,359.4861590862987
BTRUSDT,up,10,19,1180.3771951033625,49.60638768231805,1130.7708074210443,1256.3143330975552,69.3419352203882,1160.3771951033625,1110.7708074210443,1236.3143330975552,57.89473684210527,73.68421052631578,1038.1675896700938,1038.2744778652884,1045.4087747954031,552.4154603732136
BTRUSDT,up,15,19,1424.639365333847,96.83479799561651,1327.8045673382303,1533.2143856007945,69.3419352203882,1404.639365333847,1307.8045673382303,1513.2143856007945,78.94736842105263,73.68421052631578,1058.8609691902018,1120.8165858917498,1158.3657537458896,626.5689904162999
BTRUSDT,up,30,19,1580.9940460404111,135.9579340677874,1445.0361119726238,1724.1362149585777,69.3419352203882,1560.9940460404111,1425.0361119726238,1704.1362149585777,68.42105263157895,73.68421052631578,,,,
BTRUSDT,down,1,13,546.702368572799,-10.333839577431403,557.0362081502303,498.0695638022593,1063.0682186822396,526.702368572799,537.0362081502303,478.0695638022593,69.23076923076923,76.92307692307693,485.96266436307326,483.8439251938371,434.65554521671504,201.75855896683984
BTRUSDT,down,3,13,1405.192478017065,9.101580408708418,1396.090897608357,1262.271921128577,1063.0682186822396,1385.192478017065,1376.090897608357,1242.271921128577,69.23076923076923,76.92307692307693,1293.8949259701878,1077.0315629632785,790.2662185142922,-59.087637148169286
BTRUSDT,down,5,13,1971.1871986733127,-5.044880141123004,1976.2320788144355,1899.781541126999,1063.0682186822396,1951.1871986733127,1956.2320788144355,1879.781541126999,61.53846153846154,76.92307692307693,1625.0622157349355,1069.7421575072249,502.48524460007224,-926.5221648248881
BTRUSDT,down,10,13,1505.0648346265868,-71.90438975592625,1576.969224382513,1476.395175549347,1063.0682186822396,1485.0648346265868,1556.969224382513,1456.395175549347,46.15384615384615,76.92307692307693,729.5210553247591,-196.6884616278806,-1120.526923618852,-2474.619251275871
BTRUSDT,down,15,13,447.34898561477354,-187.51714040481508,634.8661260195888,598.6924870719555,1063.0682186822396,427.34898561477354,614.8661260195888,578.6924870719555,46.15384615384615,76.92307692307693,-388.2125308025707,-1306.3336669445712,-1945.3330834528797,-3287.0647565441304
BTRUSDT,down,30,13,-301.1411829485179,-331.51961572223985,30.378432773721862,73.54587909063599,1063.0682186822396,-321.1411829485179,10.378432773721862,53.54587909063599,38.46153846153847,69.23076923076923,,,,
CAKEUSDT,up,1,20,108.34058081343494,-2.380852355945096,110.72143316938005,104.9340391917012,128.12739218307811,88.34058081343494,90.72143316938005,84.9340391917012,65.0,70.0,90.81952800242966,23.18862201269073,21.886600962974626,43.60471060499466
CAKEUSDT,up,3,20,233.48823363835382,-13.225277502998017,246.71351114135186,242.36493233139203,128.12739218307811,213.48823363835382,226.71351114135186,222.36493233139203,50.0,80.0,140.432140257442,81.59522413270592,102.14351106562997,250.27994482929412
CAKEUSDT,up,5,20,301.3681904827657,23.278436586443966,278.0897538963217,267.08546163199037,128.12739218307811,281.3681904827657,258.0897538963217,247.08546163199037,45.0,65.0,224.2450163847173,233.53978550075072,307.5718856837679,399.1064563679021
CAKEUSDT,up,10,20,709.4606819186879,44.15531188304378,665.3053700356442,646.4096472348826,128.12739218307811,689.4606819186879,645.3053700356442,626.4096472348826,55.00000000000001,80.0,649.9172417033284,598.0508734220906,597.3726152087725,557.0220016732401
CAKEUSDT,up,15,20,891.0489820954423,91.02041998680915,800.0285621086332,771.0267598459286,128.12739218307811,871.0489820954423,780.0285621086332,751.0267598459286,65.0,80.0,705.3778917478178,606.6534666576189,595.3913855918635,685.6409486566247
CAKEUSDT,up,30,20,959.0378154197199,129.79371281087066,829.2441026088488,791.6951993993489,128.12739218307811,939.0378154197199,809.2441026088488,771.6951993993489,70.0,75.0,,,,
CAKEUSDT,down,1,15,370.374935036949,-7.703849333397628,378.0787843703466,376.5709525745059,1184.880279967811,350.374935036949,358.0787843703466,356.5709525745059,60.0,60.0,274.8452511623874,246.32604808707387,152.87152761765694,-57.83626617812128
CAKEUSDT,down,3,15,776.4904140911585,-0.9633323316777137,777.453746422836,742.693306655836,1184.880279967811,756.4904140911585,757.453746422836,722.693306655836,46.666666666666664,66.66666666666666,553.8866626411096,343.78238446729665,71.34862628261523,-345.98964990453175
CAKEUSDT,down,5,15,907.5046564946008,-12.953192249738352,920.4578487443393,917.762026088639,1184.880279967811,887.5046564946008,900.4578487443393,897.762026088639,46.666666666666664,60.0,509.9761341099611,161.58587155527397,-169.86962925545197,-727.1790050152525
CAKEUSDT,down,10,15,411.48180471638506,-70.96305092865354,482.4448556450385,514.7966109178655,1184.880279967811,391.48180471638506,462.4448556450385,494.79661091786545,40.0,60.0,-90.77489965539104,-502.7723968241982,-843.3575492112828,-1281.6068898740232
CAKEUSDT,down,15,15,-0.17873141175981194,-169.29114963283862,169.11241822107874,323.4003693226652,1184.880279967811,-20.178731411759813,149.11241822107874,303.4003693226652,40.0,66.66666666666666,-470.0162843255929,-814.7167695804178,-1076.6689178120798,-1415.5539975941942
CAKEUSDT,down,30,15,-813.617275820109,-290.8398314579224,-522.7774443621865,-235.78762147994914,1184.880279967811,-833.617275820109,-542.7774443621865,-255.78762147994914,40.0,53.333333333333336,,,,
CHZUSDT,up,1,20,98.4472894265377,-2.380852355945096,100.82814178248279,86.72045136281466,310.06809440594645,78.4472894265377,80.82814178248279,66.72045136281466,65.0,75.0,81.43244515253834,50.690487038125724,87.16803967142745,39.040582213903335
CHZUSDT,up,3,20,234.3240233396507,-13.225277502998017,247.54930084264873,237.7485155838293,310.06809440594645,214.3240233396507,227.54930084264873,217.7485155838293,65.0,80.0,222.47428459481844,184.03584302737903,172.6230761513537,153.86431862332333
CHZUSDT,up,5,20,377.1143429901636,23.278436586443966,353.8359064037196,318.06798092499395,310.06809440594645,357.1143429901636,333.8359064037196,298.06798092499395,65.0,70.0,311.49252104032126,296.33166184101475,292.27481506091686,319.80580464843035
CHZUSDT,up,10,20,726.066053685963,44.15531188304378,681.9107418029192,618.627822010577,310.06809440594645,706.066053685963,661.9107418029192,598.627822010577,60.0,75.0,695.5603538922826,671.6843914121137,652.9009252297602,597.6498091879123
CHZUSDT,up,15,20,1030.6858389955064,91.02041998680915,939.6654190086972,840.2043978010906,310.06809440594645,1010.6858389955064,919.6654190086972,820.2043978010906,65.0,70.0,939.5377993488594,874.7753217780562,807.9231259520277,718.0113660983418
CHZUSDT,up,30,20,1435.0458939732746,129.79371281087066,1305.252181162404,1171.9037882402165,310.06809440594645,1415.0458939732746,1285.252181162404,1151.9037882402165,75.0,75.0,,,,
CHZUSDT,down,1,15,367.14408169395904,-7.703849333397628,374.8479310273567,397.46212445682096,1451.6107357670232,347.14408169395904,354.8479310273567,377.46212445682096,53.333333333333336,60.0,321.6372939228377,286.78459671419955,156.02928118899473,-20.913294243736445
CHZUSDT,down,3,15,841.1364156253749,-0.9633323316777137,842.0997479570525,820.6960794955959,1451.6107357670232,821.1364156253749,822.0997479570525,800.6960794955959,40.0,53.333333333333336,653.5833097445397,409.8391206115848,128.41180312169817,-296.28992825666234
CHZUSDT,down,5,15,938.0266526906305,-12.953192249738352,950.9798449403689,980.2087790117587,1451.6107357670232,918.0266526906305,930.9798449403689,960.2087790117587,33.33333333333333,46.666666666666664,597.5346206948772,193.63218033820058,-153.32537647217347,-634.9900400325948
CHZUSDT,down,10,15,416.9743240746689,-70.96305092865354,487.9373750033225,574.531200851517,1451.6107357670232,396.9743240746689,467.9373750033225,554.531200851517,33.33333333333333,33.33333333333333,-47.98112030000558,-461.5917027666128,-863.4880174083183,-1274.600110539299
CHZUSDT,down,15,15,-59.329916526955316,-169.29114963283862,109.96123310588332,350.6351536209307,1451.6107357670232,-79.32991652695532,89.96123310588332,330.6351536209307,26.666666666666668,33.33333333333333,-517.5073475222958,-947.256596818984,-1313.0374084605257,-1669.7417240648235
CHZUSDT,down,30,15,-1117.2652527622192,-290.8398314579224,-826.4254213042966,-424.0174237604048,1451.6107357670232,-1137.2652527622192,-846.4254213042966,-444.0174237604048,26.666666666666668,33.33333333333333,,,,
COAIUSDT,up,1,19,5.804663258851133,0.08778243421825241,5.716880824632889,34.112486336650726,253.95658042357297,-14.195336741148868,-14.283119175367112,14.112486336650726,52.63157894736842,63.1578947368421,24.81468285037539,-17.729669415031537,94.44386496756243,20.798970679640348
COAIUSDT,up,3,19,6.926963723867043,-10.870658165935629,17.79762188980268,32.5147893628061,253.95658042357297,-13.073036276132957,-2.202378110197319,12.514789362806098,42.10526315789473,52.63157894736842,97.51450578202656,184.46369540069514,222.49827461130687,-106.73291955591385
COAIUSDT,up,5,19,209.62697302699775,26.30798144259115,183.31899158440663,275.6861787840578,253.95658042357297,189.62697302699775,163.31899158440663,255.6861787840578,52.63157894736842,68.42105263157895,227.79611908319112,117.25971689439159,90.34940626554463,-59.968532885522265
COAIUSDT,up,10,19,150.6756345371331,49.60638768231805,101.06924685481508,271.6270698528453,253.95658042357297,130.6756345371331,81.06924685481508,251.6270698528453,42.10526315789473,47.368421052631575,216.0446294082097,216.50367203128272,136.34617571485515,-87.34275017043066
COAIUSDT,up,15,19,126.85060172802639,96.83479799561651,30.01580373240987,291.6902934967126,253.95658042357297,106.85060172802639,10.015803732409871,271.6902934967126,36.84210526315789,36.84210526315789,118.58389085662168,80.8410575392141,57.01629446868591,-194.76237652953122
