signal,horizon_m,n_pairs,total_sigs,mean_ret,mean_wr,net_fees,avg_corr
spread_z2.5_lb720,15,28,606610,3.4301215638878473,54.41587123253383,-36.569878436112155,0.7284421752920088
spread_z2.0_lb720,30,28,1488593,3.366564443987791,54.37838086281955,-36.63343555601221,0.7284421752920088
spread_z2.0_lb240,30,28,1481759,3.204424372002561,54.542115260020545,-36.79557562799744,0.7284421752920088
spread_z2.5_lb240,15,28,580843,3.15119419560973,54.47221024428284,-36.848805804390274,0.7284421752920088
momdiv_15m_gt50,30,28,1090606,3.129157512267293,53.20091927701556,-36.87084248773271,0.7284421752920088
momdiv_30m_gt50,60,28,2004679,3.0933551289882817,53.07587700674526,-36.90664487101172,0.7284421752920088
spread_z1.5_lb240,60,28,3190827,3.0576818511258663,53.66051459967466,-36.94231814887413,0.7284421752920088
spread_z2.0_lb60,30,28,1352091,2.938430824801674,54.190689453913016,-37.06156917519832,0.7284421752920088
spread_z1.5_lb720,60,28,3152575,2.7128529851786047,53.760775439394045,-37.2871470148214,0.7284421752920088
spread_z1.5_lb60,60,28,3109711,2.6280471761096993,53.169336821176174,-37.3719528238903,0.7284421752920088
momdiv_30m_gt50,30,28,2004851,2.408685367558641,53.107007835922396,-37.59131463244136,0.7284421752920088
spread_z2.0_lb60,15,28,1352125,2.309604287855386,54.24724601442035,-37.690395712144614,0.7284421752920088
spread_z1.5_lb240,30,28,3191118,2.2982962582381092,53.607509122664354,-37.70170374176189,0.7284421752920088
momdiv_15m_gt50,15,28,1090629,2.2482369763092143,53.07871634379596,-37.751763023690785,0.7284421752920088
spread_z2.0_lb240,15,28,1481824,2.225661440176973,53.98817537203463,-37.77433855982303,0.7284421752920088
spread_z2.0_lb720,15,28,1488644,2.205887633206099,53.64892483480418,-37.794112366793904,0.7284421752920088
spread_z1.5_lb60,30,28,3109932,2.1580251392316283,53.425449617622654,-37.84197486076837,0.7284421752920088
spread_z1.5_lb720,30,28,3152819,1.9673907771868826,53.37150047500312,-38.032609222813115,0.7284421752920088
momdiv_30m_gt50,15,28,2004900,1.720191786666119,52.72699619484432,-38.27980821333388,0.7284421752920088
spread_z1.5_lb60,15,28,3110034,1.673542920164343,53.40219567576543,-38.32645707983566,0.7284421752920088
spread_z1.5_lb240,15,28,3191278,1.576077381772995,53.20742630900031,-38.423922618227,0.7284421752920088
spread_z1.5_lb720,15,28,3152970,1.3062932195587693,52.75614857925904,-38.69370678044123,0.7284421752920088
