symbol,lookback,zscore_thresh,direction,horizon_m,n_signals,mean_ret_bps,median_ret_bps,win_rate,sharpe,net_of_fees_bps,avg_premium_bps
CCUSDT,720,1.5,long,240,14126,14.924384056219383,6.0303450292908956,51.486620416253714,0.04809764147168705,-5.075615943780617,-11.779020741894378
CCUSDT,720,2.0,short,5,1618,3.022781219344013,5.346215263464238,57.47836835599506,0.05081149316998353,-16.97721878065599,8.995620828182942
CCUSDT,720,2.0,long,5,8589,4.884275071683995,2.473104983307106,53.19594830597275,0.08955657581876526,-15.115724928316006,-12.941996542088718
CCUSDT,720,2.0,short,15,1618,5.953295706303126,9.820288361349071,58.281829419035844,0.06845072974832687,-14.046704293696873,8.995620828182942
CCUSDT,720,2.0,long,15,8589,10.72200094293554,5.629221916436666,54.884154150657814,0.1187641230850698,-9.27799905706446,-12.941996542088718
CCUSDT,720,2.0,short,30,1618,11.372541576592827,17.45196947553207,59.95055624227441,0.09820491265720373,-8.627458423407173,8.995620828182942
CCUSDT,720,2.0,long,30,8589,14.380469839323478,9.412397472099432,55.76900686925137,0.12018212694301626,-5.619530160676522,-12.941996542088718
CCUSDT,720,2.0,short,60,1618,3.1681966202448613,17.41611677910648,55.87144622991347,0.01768640461966582,-16.83180337975514,8.995620828182942
CCUSDT,720,2.0,long,60,8580,18.91236166140807,13.384210590428047,56.247086247086244,0.1136192419691634,-1.0876383385919297,-12.934622610722611
CCUSDT,720,2.0,short,240,1618,-20.045246000637338,44.273124269916806,58.03461063040791,-0.05858422420797542,-40.045246000637334,8.995620828182942
CCUSDT,720,2.0,long,240,8579,13.090973726505993,6.674676278199954,51.59109453316238,0.04213894593652756,-6.909026273494007,-12.933952546916892
CCUSDT,720,2.5,short,5,1126,3.990041365606573,5.9416503359321915,57.99289520426287,0.06250673664529989,-16.009958634393428,10.556098667850797
CCUSDT,720,2.5,long,5,5358,5.133489872970463,2.109261550135022,52.93019783501306,0.08760610573913502,-14.866510127029537,-13.962572807017544
CCUSDT,720,2.5,short,15,1126,7.085203525021452,10.578902760227106,58.8809946714032,0.07836013712517634,-12.914796474978548,10.556098667850797
CCUSDT,720,2.5,long,15,5358,12.079341065683463,6.230407160665585,55.11384845091452,0.1253908092001313,-7.920658934316537,-13.962572807017544
CCUSDT,720,2.5,short,30,1126,14.30795465333539,19.952495682803438,60.30195381882771,0.11818340425969534,-5.69204534666461,10.556098667850797
CCUSDT,720,2.5,long,30,5358,17.7168513816349,10.748195169795194,56.62560656961553,0.14509877163624452,-2.2831486183651,-13.962572807017544
CCUSDT,720,2.5,short,60,1126,2.844698829667443,24.238872373323893,57.37122557726465,0.0146739298304829,-17.155301170332557,10.556098667850797
CCUSDT,720,2.5,long,60,5356,24.938856858649295,16.080750262618125,57.28155339805825,0.1458736297154912,4.938856858649295,-13.959524794622853
CCUSDT,720,2.5,short,240,1126,-48.07562577324739,21.27307797614053,54.61811722912966,-0.13154213567859604,-68.0756257732474,10.556098667850797
CCUSDT,720,2.5,long,240,5356,16.82826379981606,8.01860362335205,51.792382374906644,0.055103565223068356,-3.1717362001839398,-13.959524794622853
CCUSDT,720,3.0,short,5,790,0.5477737201636672,4.472974487019776,56.20253164556962,0.00824754925610764,-19.45222627983633,11.659978734177216
CCUSDT,720,3.0,long,5,3391,5.109393436235269,2.577651759245736,53.64199351223827,0.08112715184242204,-14.890606563764731,-14.852620171040991
CCUSDT,720,3.0,short,15,790,3.785340239137809,8.922785349195772,57.848101265822784,0.042805680565929975,-16.21465976086219,11.659978734177216
CCUSDT,720,3.0,long,15,3391,12.16896490018078,5.851375073142595,54.644647596579176,0.11924746906508664,-7.8310350998192195,-14.852620171040991
CCUSDT,720,3.0,short,30,790,13.547408780247258,16.158385033983592,58.734177215189874,0.11447085723522817,-6.452591219752742,11.659978734177216
CCUSDT,720,3.0,long,30,3391,16.323621558778218,11.253340835559733,57.0038336773813,0.13089050763228752,-3.6763784412217824,-14.852620171040991
CCUSDT,720,3.0,short,60,790,-0.8010012652021689,18.276079652862485,55.18987341772152,-0.004121186507397347,-20.801001265202167,11.659978734177216
CCUSDT,720,3.0,long,60,3391,23.765872416998068,16.08234158893662,57.12179298142141,0.134106330391727,3.765872416998068,-14.852620171040991
CCUSDT,720,3.0,short,240,790,-67.87420397992221,10.244694009919897,52.65822784810127,-0.18341177334088313,-87.87420397992221,11.659978734177216
CCUSDT,720,3.0,long,240,3391,13.291064783439186,3.594967046136599,50.45709230315541,0.043366024131357955,-6.708935216560814,-14.852620171040991
CCUSDT,720,3.5,short,5,571,-1.9612337380071734,2.829014371392713,54.46584938704028,-0.02662567056967481,-21.961233738007174,12.897020315236427
CCUSDT,720,3.5,long,5,2197,5.4083223697900165,2.654280026543887,53.57305416477014,0.08295442747654684,-14.591677630209983,-15.91680969503869
CCUSDT,720,3.5,short,15,571,1.8798744676886656,5.7703404500863975,56.74255691768827,0.02027491336857714,-18.120125532311334,12.897020315236427
CCUSDT,720,3.5,long,15,2197,13.824159805462395,6.985679357316421,55.07510241238052,0.12666001077396002,-6.175840194537605,-15.91680969503869
CCUSDT,720,3.5,short,30,571,13.756330898877414,16.38576779026235,58.844133099824866,0.11192253930803805,-6.243669101122586,12.897020315236427
CCUSDT,720,3.5,long,30,2197,18.5438161695898,11.35172895564196,56.57715065999089,0.14269670449994298,-1.4561838304102004,-15.91680969503869
CCUSDT,720,3.5,short,60,571,-5.00522794538223,16.292541636495628,55.166374781085814,-0.02478379407064959,-25.00522794538223,12.897020315236427
CCUSDT,720,3.5,long,60,2197,24.903768119118265,14.351678522399602,56.258534365043246,0.13323240443432555,4.903768119118265,-15.91680969503869
CCUSDT,720,3.5,short,240,571,-83.51988589796937,2.7129679869775103,51.138353765324,-0.21791483130810996,-103.51988589796937,12.897020315236427
CCUSDT,720,3.5,long,240,2197,14.370533652943664,4.604960199985353,50.61447428311333,0.04605878257266049,-5.629466347056336,-15.91680969503869
CHZUSDT,60,1.5,short,5,17551,-0.01372102462716437,0.0,47.75796250925873,-0.000491809099196604,-20.013721024627163,0.22752893282434067
CHZUSDT,60,1.5,long,5,34730,0.1802177474300788,0.0,47.39706305787504,0.003615087545644734,-19.819782252569922,-10.537519640080623
CHZUSDT,60,1.5,short,15,17550,-0.9579961021001882,0.0,47.925925925925924,-0.020768555755950283,-20.95799610210019,0.22754189743589762
CHZUSDT,60,1.5,long,15,34730,0.47530992396731836,0.0,48.02476245321048,0.007444131824542703,-19.52469007603268,-10.537519640080623
CHZUSDT,60,1.5,short,30,17549,-2.0122389993950924,0.0,48.35603168271697,-0.03132485037223267,-22.01223899939509,0.22755486352498736
CHZUSDT,60,1.5,long,30,34729,0.3646905545342482,0.0,48.596274007313774,0.003817886810788529,-19.63530944546575,-10.537465083935617
CHZUSDT,60,1.5,short,60,17547,-3.045662292007955,-2.243158366979081,48.05949734997436,-0.03415098245613683,-23.045662292007954,0.22762902490454226
CHZUSDT,60,1.5,long,60,34726,0.3584132643888886,0.0,49.015147151989865,0.003242096967441367,-19.64158673561111,-10.537157821229052
CHZUSDT,60,1.5,short,240,17536,-4.731096830680781,-3.5887509111942606,48.083941605839414,-0.027464393032423456,-24.73109683068078,0.2284771270529199
CHZUSDT,60,1.5,long,240,34712,4.356079664781028,2.5484214691651186,50.293846508412074,0.022394129426770836,-15.643920335218972,-10.536501541253747
CHZUSDT,60,2.0,short,5,3856,-0.58783952717804,0.0,45.954356846473026,-0.021182587660806357,-20.58783952717804,1.8994324429460583
