symbol,signal,direction,horizon_m,n_signals,mean_abs_ret,mean_ret,median_ret,win_rate,net_fees
USELESSUSDT,coiled_v0.2_oi1.0,abs_move,240,4070,322.1495901638406,-3.9140292843810807,-28.69711256972107,46.60933660933661,302.1495901638406
USELESSUSDT,coiled_v0.2_oi1.0_momup,long,240,1779,317.252980709523,-9.628078988527331,-35.79295154185091,45.75604272062957,-29.62807898852733
USELESSUSDT,coiled_v0.2_oi1.0_momdn,short,240,2063,329.19028962739117,0.20124708731430554,21.16402116402183,52.060106640814354,-19.798752912685693
USELESSUSDT,coiled_v0.2_oi2.0,abs_move,15,2092,75.85301494733689,-4.446487663363941,-9.590113126370369,43.26003824091778,55.85301494733689
USELESSUSDT,coiled_v0.2_oi2.0_momup,long,15,931,76.99242875368417,-7.4795328309316735,-14.05591129158279,40.06444683136412,-27.479532830931674
USELESSUSDT,coiled_v0.2_oi2.0_momdn,short,15,1055,76.56555559339037,2.203702868382779,6.414368184735064,51.94312796208531,-17.796297131617223
USELESSUSDT,coiled_v0.2_oi2.0,abs_move,30,2092,106.80729828830421,-7.616845973035883,-15.768735163713687,44.120458891013385,86.80729828830421
USELESSUSDT,coiled_v0.2_oi2.0_momup,long,30,931,110.60008349074273,-16.350411363587703,-25.697503671071598,41.46079484425349,-36.3504113635877
USELESSUSDT,coiled_v0.2_oi2.0_momdn,short,30,1055,105.02806446018906,-0.5379676063428909,9.746588693957392,52.51184834123222,-20.537967606342892
USELESSUSDT,coiled_v0.2_oi2.0,abs_move,60,2092,151.00661370404558,-6.569890064354391,-20.422065283879352,44.45506692160612,131.00661370404558
USELESSUSDT,coiled_v0.2_oi2.0_momup,long,60,931,153.69721841761006,-15.336032468029483,-30.469226081657474,41.35338345864661,-35.33603246802949
USELESSUSDT,coiled_v0.2_oi2.0_momdn,short,60,1055,151.8939383318696,-0.3626403708728749,10.131712259372483,52.60663507109005,-20.362640370872874
