symbol,gross_bps,sig_str,hold,entry_time,exit_time,strategy,net_tk,net_mk,month
1000RATSUSDT,-5391.897842360194,2.618519026820511,3,2025-10-10 21:00:00,2025-10-10 21:15:00,long_vg,-5411.897842360194,-5399.897842360194,2025-10
1000RATSUSDT,213.46685992884363,3.120649487625388,3,2025-11-21 07:30:00,2025-11-21 07:45:00,long_vg,193.46685992884363,205.46685992884363,2025-11
1000BONKUSDT,8850.104197677882,9.99569646916515,24,2025-10-10 21:15:00,2025-10-10 23:15:00,long_vg,8830.104197677882,8842.104197677882,2025-10
1000BONKUSDT,-41.179850603334515,2.7621620377117777,10,2025-11-17 14:30:00,2025-11-17 15:20:00,long_vg,-61.179850603334515,-49.179850603334515,2025-11
1000BONKUSDT,64.00538992757276,3.0035411106887397,3,2025-11-21 07:30:00,2025-11-21 07:45:00,long_vg,44.005389927572764,56.005389927572764,2025-11
1000BONKUSDT,256.1521252796428,2.7065329667008644,12,2026-01-23 15:10:00,2026-01-23 16:10:00,long_vg,236.1521252796428,248.1521252796428,2026-01
AEROUSDT,-111.35589825756131,4.142312242047541,5,2025-09-15 14:25:00,2025-09-15 14:50:00,long_vg,-131.3558982575613,-119.35589825756131,2025-09
AKTUSDT,-178.46448676488103,3.2362394265418577,14,2026-01-04 00:10:00,2026-01-04 01:20:00,long_vg,-198.46448676488103,-186.46448676488103,2026-01
AIXBTUSDT,-2670.916223031662,7.3947663113652835,17,2025-10-10 20:55:00,2025-10-10 22:20:00,long_vg,-2690.916223031662,-2678.916223031662,2025-10
AIXBTUSDT,489.44656805717244,2.561965494745053,4,2025-10-16 09:30:00,2025-10-16 09:50:00,long_vg,469.44656805717244,481.44656805717244,2025-10
AIXBTUSDT,-326.02423542988925,2.5732187451738313,5,2025-11-17 13:40:00,2025-11-17 14:05:00,long_vg,-346.02423542988925,-334.02423542988925,2025-11
AIXBTUSDT,500.8447984552267,3.0048703679403763,3,2025-11-21 07:30:00,2025-11-21 07:45:00,long_vg,480.8447984552267,492.8447984552267,2025-11
AIXBTUSDT,-9.806057964698578,2.846878653379323,3,2025-12-04 10:45:00,2025-12-04 11:00:00,long_vg,-29.806057964698578,-17.806057964698578,2025-12
AIXBTUSDT,-244.50589433852255,3.998032017774272,7,2025-12-27 17:00:00,2025-12-27 17:35:00,long_vg,-264.5058943385226,-252.50589433852255,2025-12
ASTERUSDT,383.5846940047372,3.567588238039589,3,2025-10-09 14:30:00,2025-10-09 14:45:00,long_vg,363.5846940047372,375.5846940047372,2025-10
ASTERUSDT,2531.3176980314565,2.775111480470888,23,2025-10-10 21:15:00,2025-10-10 23:10:00,long_vg,2511.3176980314565,2523.3176980314565,2025-10
ASTERUSDT,1215.6073243217347,5.142016023939544,7,2025-11-02 14:30:00,2025-11-02 15:05:00,long_vg,1195.6073243217347,1207.6073243217347,2025-11
APTUSDT,249.92547546652366,3.7827948459045957,7,2025-09-22 06:00:00,2025-09-22 06:35:00,long_vg,229.92547546652366,241.92547546652366,2025-09
APTUSDT,2662.416880015119,10.30035043737559,22,2025-10-10 21:20:00,2025-10-10 23:10:00,long_vg,2642.416880015119,2654.416880015119,2025-10
ARBUSDT,209.73486347447556,3.5891127527526145,3,2025-08-14 12:30:00,2025-08-14 12:45:00,long_vg,189.73486347447556,201.73486347447556,2025-08
