signal,n_symbols,mean_corr_6,std_corr_6,pct_positive_corr_6,mean_corr_12,std_corr_12,mean_edge_6,std_edge_6,pct_positive_edge_6,mean_edge_12,std_edge_12,mean_extreme_edge_6,std_extreme_edge_6,pct_positive_extreme_edge_6,mean_high_fwd6,std_high_fwd6,mean_low_fwd6,std_low_fwd6,mean_high_hit_rate,std_high_hit_rate,mean_low_hit_rate,std_low_hit_rate,mean_high_win_mean,std_high_win_mean,mean_low_win_mean,std_low_win_mean,abs_corr_6
premium_spread,116,-0.00920865656461711,0.09754645105023302,0.35344827586206895,-0.02049728061913632,0.08136253705956839,-3.153412313230896,9.994745061250883,0.29310344827586204,-7.3409067313356955,19.585208425493125,-4.73352607872301,16.376714970082755,0.3620689655172414,-0.1922014855653668,4.984794145333381,2.96121082766553,6.612247981396348,0.48724419117006623,0.015087503218127388,0.502843403361124,0.014823775682135411,88.86404784406679,54.760847979297125,-73.39116685609694,33.58907620338656,0.00920865656461711
oi_div_ma36,116,-0.008058359815581962,0.023632867930713904,0.27586206896551724,-0.008930116672210171,0.03274546477394344,-2.1586583775983836,11.142794204965714,0.3448275862068966,-2.266194237610809,20.5357057765614,-3.490747089855729,17.38258799839713,0.3879310344827586,0.10116762912803076,7.213600964742489,2.259826006726414,6.7980968351678595,0.48540527567634206,0.014986228152915969,0.507316612879661,0.016148006620622726,90.45039686375263,49.227097242101024,-85.32329570648514,41.12401986377531,0.008058359815581962
oi_div_ma12,116,-0.007902867987926093,0.022999060027488995,0.35344827586206895,-0.012385980620903873,0.030448770212568563,-2.0464143604184644,10.449937952488595,0.35344827586206895,-2.4565366195196963,16.987165343069428,-3.7441934289397607,17.84164357570648,0.33620689655172414,0.7790154729833891,7.4517674258012745,2.825429833401854,5.494439315001551,0.4875464937646001,0.01438742118532458,0.5062201091137417,0.01578397431602532,92.51376961897128,50.18213254743572,-87.50484103614477,42.389923683940594,0.007902867987926093
bn_taker_imb_ma6,116,-0.005354298870674912,0.00899609023197608,0.2413793103448276,-0.004914270581516238,0.010696285058831807,-1.842683302457751,4.417701218431518,0.27586206896551724,-2.4390369726822345,7.057903932127049,-2.038640225526827,4.677810166238435,0.3017241379310345,-0.8243183630610381,2.808708529466974,1.018364939396713,2.7364776801486057,0.475605568556603,0.013713882259325048,0.4866300750420507,0.015057370463956403,52.400825453338896,19.510296845763325,-50.91960218552006,16.621663312659777,0.005354298870674912
ls_div,116,-0.004682097032669592,0.011750113572301248,0.31896551724137934,-0.005474347464166015,0.016700800122182273,-1.7833154996386276,6.595924863856807,0.41379310344827586,-2.767085175580735,12.409297823398926,-2.09385990698742,10.569857157362748,0.33620689655172414,-1.3607851360435848,3.5392056107173655,0.4225303635950427,5.903169343457847,0.48836888166856984,0.016964954595965715,0.5081084738091463,0.015257512508024363,59.43032405262875,22.655116866824308,-77.61493939303215,46.79618326560211,0.004682097032669592
bn_taker_imb_ma12,116,-0.0041650533293839,0.009286467880812216,0.3103448275862069,-0.005420120983475846,0.012430878778069844,-1.8909697086707942,5.000085440342923,0.3448275862068966,-3.0001617201494226,8.105733019144187,-2.07861571751067,5.523887153500806,0.35344827586206895,-0.9361329899280372,2.9645881692493545,0.9548367187427568,3.209232884978845,0.4768448525906805,0.01395686093974066,0.4877771394604636,0.01644475057420969,52.86161590983525,20.34671639131021,-51.1588545826261,16.784439171499738,0.0041650533293839
oi_prem_composite,116,0.004087475661494728,0.037247531807980704,0.5849056603773585,0.002158196813105171,0.028048645772194163,-0.4590541075285175,6.875555660138024,0.4051724137931034,-1.0974569034301853,11.284030973914785,-0.6127244604191042,12.27145494257141,0.47413793103448276,0.8967739545186033,4.019959107675229,1.3558280620471204,5.062474461353083,0.4875997587043765,0.012717934379686255,0.5059017833499372,0.013829343240908606,93.15331296954842,46.951520207205874,-85.80512084105527,43.62949320935379,0.004087475661494728
bn_vol_spike,116,0.003042522112103715,0.013764409869882355,0.603448275862069,0.005841562852380405,0.013856164703811878,2.1520995438718717,6.005511883219149,0.7844827586206896,4.238870703004941,10.228961719788055,2.1604068558989775,8.236067026843502,0.7155172413793104,1.4924043118831112,5.056185124407094,-0.6596952319887606,2.106893344539722,0.49132379771983936,0.014341115219808222,0.5026023099246626,0.01124183202281094,95.71550581409848,43.14436412463008,-50.281522960133,16.035961443182075,0.003042522112103715
vol_ratio,116,0.0027091330906257073,0.019853128438753073,0.5862068965517241,0.0024186633939641093,0.0137898976206437,-0.005463295633646889,3.005915061494523,0.5603448275862069,0.12028970832297903,4.843729170787435,-0.3599088496703975,3.970279035997531,0.5431034482758621,0.20186829089769895,1.9900918606519318,0.20733158653134579,2.3741042283178415,0.48973294313939136,0.01157563987914676,0.5019836503450675,0.010785560713041013,58.597128073755904,19.91401526004443,-48.2883315794568,21.812980779832202,0.0027091330906257073
vol_ratio_z72,116,0.002604248034338611,0.005579756582829256,0.7241379310344828,0.0036673783172539963,0.006662817091039806,0.9448489445144765,3.0431943356347797,0.6724137931034483,1.7677034350068903,4.697864459271678,1.3687706898487784,4.543436411720824,0.6120689655172413,0.7310570165675673,2.309175177478935,-0.21379192794690943,2.3316242849658217,0.4897909673669682,0.011793011700676285,0.505612926154936,0.009887922816270966,67.63958503444856,28.343959975632263,-59.274649651836526,24.191530324710754,0.002604248034338611
