symbol,gross_bps,signal_strength,hold_bars,direction,entry_time,exit_time,net_bps_taker,net_bps_maker
SAHARAUSDT,-61.38358602909566,3.6562628448613106,12,-1,2025-10-06 13:20:00,2025-10-06 14:20:00,-81.38358602909565,-69.38358602909565
SAHARAUSDT,731.2167791983892,11.089976426959346,12,1,2025-10-10 21:15:00,2025-10-10 22:15:00,711.2167791983892,723.2167791983892
SAHARAUSDT,-169.75412596833993,4.020929719207693,2,-1,2025-10-29 18:35:00,2025-10-29 18:45:00,-189.75412596833993,-177.75412596833993
SAHARAUSDT,-1126.5899454875816,4.258861274555394,24,-1,2025-11-29 15:25:00,2025-11-29 17:25:00,-1146.5899454875816,-1134.5899454875816
SAHARAUSDT,431.9727891156466,3.649578547373876,13,-1,2025-12-04 09:10:00,2025-12-04 10:15:00,411.9727891156466,423.9727891156466
SAHARAUSDT,26.806058169145388,5.103895826111394,22,-1,2025-12-07 01:10:00,2025-12-07 03:00:00,6.806058169145388,18.806058169145388
SAHARAUSDT,93.60374414976724,4.299285256630063,24,-1,2025-12-08 00:15:00,2025-12-08 02:15:00,73.60374414976724,85.60374414976724
SAHARAUSDT,-31.288023639839402,3.9829070852249533,24,-1,2025-12-17 11:40:00,2025-12-17 13:40:00,-51.2880236398394,-39.2880236398394
SAHARAUSDT,674.5332863684395,3.592754522707221,24,-1,2025-12-18 03:55:00,2025-12-18 05:55:00,654.5332863684395,666.5332863684395
SAHARAUSDT,62.21624348411004,5.72760792984395,24,-1,2025-12-20 07:15:00,2025-12-20 09:15:00,42.21624348411004,54.21624348411004
SAHARAUSDT,36.79852805887896,3.9230762665402135,6,1,2026-01-02 18:50:00,2026-01-02 19:20:00,16.798528058878958,28.798528058878958
SAHARAUSDT,-724.695434361835,5.412591342722137,24,-1,2026-01-29 00:00:00,2026-01-29 02:00:00,-744.695434361835,-732.695434361835
SAHARAUSDT,-68.1041212414879,3.641499613742436,2,1,2026-02-03 21:20:00,2026-02-03 21:30:00,-88.1041212414879,-76.1041212414879
SAHARAUSDT,0.6321312304435889,6.080293200744951,13,-1,2026-02-27 01:00:00,2026-02-27 02:05:00,-19.36786876955641,-7.367868769556411
SAHARAUSDT,-2466.489554401641,5.346113940413591,24,-1,2026-02-27 07:20:00,2026-02-27 09:20:00,-2486.489554401641,-2474.489554401641
SIRENUSDT,97.24106739032234,4.042740329943291,4,-1,2025-07-28 13:25:00,2025-07-28 13:45:00,77.24106739032234,89.24106739032234
SIRENUSDT,-63.875088715401596,4.06334664177311,5,-1,2025-07-29 05:50:00,2025-07-29 06:15:00,-83.8750887154016,-71.8750887154016
SIRENUSDT,-91.11210361768762,3.6297299545472494,11,-1,2025-08-01 19:30:00,2025-08-01 20:25:00,-111.11210361768762,-99.11210361768762
SIRENUSDT,-885.570046276819,3.5298938267417634,20,1,2025-10-06 08:25:00,2025-10-06 10:05:00,-905.570046276819,-893.570046276819
SIRENUSDT,-2759.4430836663664,7.145090791336339,7,-1,2025-10-10 21:15:00,2025-10-10 21:50:00,-2779.4430836663664,-2767.4430836663664
SIRENUSDT,2836.2300409778163,3.8463745718158293,7,1,2026-02-07 18:35:00,2026-02-07 19:10:00,2816.2300409778163,2828.2300409778163
SPXUSDT,-500.4675648529755,5.102678151364133,2,-1,2025-08-14 12:30:00,2025-08-14 12:40:00,-520.4675648529756,-508.4675648529755
SPXUSDT,-3002.529257941442,5.0496450949633624,2,1,2025-10-10 21:10:00,2025-10-10 21:20:00,-3022.529257941442,-3010.529257941442
SPXUSDT,1451.693227091635,7.183170311702778,3,1,2025-10-10 21:40:00,2025-10-10 21:55:00,1431.693227091635,1443.693227091635
SPXUSDT,-358.7545126353775,4.762628088761622,1,-1,2026-02-06 00:15:00,2026-02-06 00:20:00,-378.7545126353775,-366.7545126353775
SOLUSDT,-41.500664010624135,4.229134754639609,10,1,2025-07-03 15:30:00,2025-07-03 16:20:00,-61.500664010624135,-49.500664010624135
SOLUSDT,-2294.107183696287,5.0676984589269924,4,1,2025-10-10 20:55:00,2025-10-10 21:15:00,-2314.107183696287,-2302.107183696287
SOLUSDT,214.01094435715473,5.639881607492399,12,1,2025-10-10 22:00:00,2025-10-10 23:00:00,194.01094435715473,206.01094435715473
SOLUSDT,-39.71280540725264,4.294633425518336,1,-1,2025-10-29 18:35:00,2025-10-29 18:40:00,-59.71280540725264,-47.71280540725264
SOLUSDT,154.9769441458926,3.9444484705729606,24,-1,2025-12-09 16:45:00,2025-12-09 18:45:00,134.9769441458926,146.9769441458926
SOLUSDT,80.32558637678045,3.5704125539990197,24,-1,2025-12-12 06:10:00,2025-12-12 08:10:00,60.32558637678045,72.32558637678045
SOLUSDT,-6.327862368993298,4.019725604548456,2,-1,2026-01-25 09:20:00,2026-01-25 09:30:00,-26.327862368993298,-14.327862368993298
STRKUSDT,-5338.824410333209,3.5963552734577138,2,1,2025-10-10 21:10:00,2025-10-10 21:20:00,-5358.824410333209,-5346.824410333209
STRKUSDT,2828.5356695869846,5.174918783701466,22,1,2025-10-10 21:25:00,2025-10-10 23:15:00,2808.5356695869846,2820.5356695869846
SUIUSDT,33.446502403442494,4.7228604536891625,12,1,2025-07-03 15:30:00,2025-07-03 16:30:00,13.446502403442494,25.446502403442494
SUIUSDT,-62.74262630892924,3.7136416245140356,3,1,2025-09-09 14:35:00,2025-09-09 14:50:00,-82.74262630892923,-70.74262630892923
SUIUSDT,-91.79212527586688,4.14579699895883,4,-1,2025-09-17 17:55:00,2025-09-17 18:15:00,-111.79212527586688,-99.79212527586688
SUIUSDT,-86.72937792583268,3.593899913589687,12,1,2025-09-22 05:55:00,2025-09-22 06:55:00,-106.72937792583268,-94.72937792583268
SUIUSDT,-6167.320261437908,5.16270316238265,1,-1,2025-10-10 21:15:00,2025-10-10 21:20:00,-6187.320261437908,-6175.320261437908
SUIUSDT,2185.519844446986,4.925836160793467,24,1,2025-10-10 21:30:00,2025-10-10 23:30:00,2165.519844446986,2177.519844446986
SUIUSDT,19.169991192167224,4.991006247574902,4,1,2026-01-07 07:55:00,2026-01-07 08:15:00,-0.8300088078327761,11.169991192167224
TAOUSDT,-0.15298941313357517,3.842866017297496,24,-1,2025-09-07 23:05:00,2025-09-08 01:05:00,-20.152989413133575,-8.152989413133575
TAOUSDT,-182.9839559667401,6.783827028514521,1,-1,2025-09-17 17:55:00,2025-09-17 18:00:00,-202.9839559667401,-190.9839559667401
TAOUSDT,7289.700020977556,4.58782637149319,24,1,2025-10-10 21:15:00,2025-10-10 23:15:00,7269.700020977556,7281.700020977556
TAOUSDT,-719.0398545882215,7.296194246278528,12,-1,2025-10-16 09:30:00,2025-10-16 10:30:00,-739.0398545882215,-727.0398545882215
TAOUSDT,198.53449958305848,6.4121563160980415,2,1,2025-11-21 07:30:00,2025-11-21 07:40:00,178.53449958305848,190.53449958305848
TAOUSDT,-14.730472171351483,5.388465103163858,11,1,2026-01-19 00:00:00,2026-01-19 00:55:00,-34.73047217135148,-22.730472171351483
TAOUSDT,-19.404752904412792,7.258589479176216,24,-1,2026-02-16 05:05:00,2026-02-16 07:05:00,-39.40475290441279,-27.404752904412792
TAOUSDT,-34.01172436677369,3.627110771805098,8,-1,2026-02-19 10:00:00,2026-02-19 10:40:00,-54.01172436677369,-42.01172436677369
TIAUSDT,-270.9808490932453,4.651930955042414,1,-1,2025-09-17 17:55:00,2025-09-17 18:00:00,-290.9808490932453,-278.9808490932453
TIAUSDT,291.1040238854579,3.801773439820679,8,1,2025-09-22 06:00:00,2025-09-22 06:40:00,271.1040238854579,283.1040238854579
TIAUSDT,6530.3755255908345,11.104024241331794,1,1,2025-10-10 21:20:00,2025-10-10 21:25:00,6510.3755255908345,6522.3755255908345
TIAUSDT,559.7123136709015,6.838195648208616,18,1,2025-10-10 21:50:00,2025-10-10 23:20:00,539.7123136709015,551.7123136709015
TIAUSDT,-156.15906886517817,3.609785781242973,1,-1,2025-10-16 09:30:00,2025-10-16 09:35:00,-176.15906886517817,-164.15906886517817
TIAUSDT,-396.3119555804595,4.086124902414039,6,-1,2025-10-29 18:35:00,2025-10-29 19:05:00,-416.3119555804595,-404.3119555804595
TIAUSDT,-87.60402978536975,3.5106067709460826,2,1,2025-12-21 13:25:00,2025-12-21 13:35:00,-107.60402978536975,-95.60402978536975
TIAUSDT,1.460280373832834,4.4078234720379434,13,-1,2026-02-14 00:10:00,2026-02-14 01:15:00,-18.539719626167166,-6.539719626167166
TONUSDT,-308.4638867456147,3.7504673020876838,2,1,2025-07-06 08:05:00,2025-07-06 08:15:00,-328.4638867456147,-316.4638867456147
TONUSDT,-126.15944833913927,3.5721004809113697,14,1,2025-07-22 13:25:00,2025-07-22 14:35:00,-146.15944833913926,-134.15944833913926
