symbol,gross_bps,sig_str,hold,entry_time,exit_time,exit_reason,net_tk,net_mk,month,sig_bucket
IPUSDT,27366.639216762735,10.554107046276142,3,2025-10-10 21:15:00,2025-10-10 21:30:00,cross,27346.639216762735,27358.639216762735,2025-10,7+
IPUSDT,-750.9958523263938,6.051002545630072,12,2025-10-10 21:45:00,2025-10-10 22:45:00,cross,-770.9958523263938,-758.9958523263938,2025-10,5-7
IPUSDT,105.97427264093851,4.47136600310113,5,2025-11-21 07:30:00,2025-11-21 07:55:00,cross,85.97427264093851,97.97427264093851,2025-11,4-5
INJUSDT,-312.8675605739828,5.0767443416073945,3,2025-09-22 05:55:00,2025-09-22 06:10:00,cross,-332.8675605739828,-320.8675605739828,2025-09,5-7
INJUSDT,10488.57368006304,6.2720640707325535,6,2025-10-10 21:15:00,2025-10-10 21:45:00,reversal,10468.57368006304,10480.57368006304,2025-10,5-7
INJUSDT,788.2745018023529,4.280719091250557,8,2025-10-10 22:00:00,2025-10-10 22:40:00,cross,768.2745018023529,780.2745018023529,2025-10,4-5
JTOUSDT,-1432.1860140470267,4.245979838697021,24,2025-10-10 21:10:00,2025-10-10 23:10:00,maxhold,-1452.1860140470267,-1440.1860140470267,2025-10,4-5
JELLYJELLYUSDT,2358.610625625712,4.191330451144733,24,2025-10-03 17:00:00,2025-10-03 19:00:00,maxhold,2338.610625625712,2350.610625625712,2025-10,4-5
JELLYJELLYUSDT,1379.4395886118639,5.007251436468873,6,2025-10-10 21:15:00,2025-10-10 21:45:00,reversal,1359.4395886118639,1371.4395886118639,2025-10,5-7
JELLYJELLYUSDT,1815.1239722457447,4.684659311592671,23,2025-11-04 17:15:00,2025-11-04 19:10:00,cross,1795.1239722457447,1807.1239722457447,2025-11,4-5
JELLYJELLYUSDT,-3997.548743488243,8.218895284900112,13,2025-11-04 21:30:00,2025-11-04 22:35:00,cross,-4017.548743488243,-4005.548743488243,2025-11,7+
JELLYJELLYUSDT,265.3041171268544,6.188257590432048,7,2026-01-31 18:40:00,2026-01-31 19:15:00,cross,245.3041171268544,257.3041171268544,2026-01,5-7
JUPUSDT,7002.477291494633,6.482655740934064,7,2025-10-10 21:20:00,2025-10-10 21:55:00,cross,6982.477291494633,6994.477291494633,2025-10,5-7
KAITOUSDT,-125.83677799319571,4.0176229606957,24,2025-10-08 17:55:00,2025-10-08 19:55:00,maxhold,-145.8367779931957,-133.8367779931957,2025-10,4-5
KAITOUSDT,611.761360943941,4.721713681097887,24,2025-10-10 21:10:00,2025-10-10 23:10:00,maxhold,591.761360943941,603.761360943941,2025-10,4-5
