test_day,train_start_day,train_end_day,variant,events,fast_pair_net_15m_bps,fast_gap_close_15m_bps,fast_pair_win_15m,fast_entry_decay_bps,bb_spread_bps_ob,entry_fill_lag_ms,exit_fill_lag_ms
2025-12-22,2025-11-22,2025-12-21,active_fast_exec_model_top_quantile,12.0,-7.671931066777634,2.453428227702781,0.25,8.854502438147097,2.1253592944804134,7203.583333333333,12831.833333333334
2025-12-23,2025-11-23,2025-12-22,active_fast_exec_baseline,12.0,-10.424442664878162,1.7114846916029454,0.25,14.812900989339683,4.135927356481107,28540.5,35913.666666666664
2025-12-23,2025-11-23,2025-12-22,active_fast_exec_state_top_quantile,12.0,-12.337071709757685,-1.441478627685159,0.16666666666666666,21.228969998162707,2.8955930820725233,9792.25,17274.916666666668
2025-12-23,2025-11-23,2025-12-22,active_fast_exec_model_top_quantile,12.0,-4.880058848721961,5.856456526931545,0.25,15.31922827784073,2.7365153756535054,30796.083333333332,20165.0
2025-12-24,2025-11-24,2025-12-23,active_fast_exec_baseline,12.0,-9.022762087399359,1.784905126102631,0.08333333333333333,15.075948239887117,3.062909687456717,9664.083333333334,12343.666666666666
2025-12-24,2025-11-24,2025-12-23,active_fast_exec_state_top_quantile,12.0,-5.854649825613252,5.599230177996962,0.16666666666666666,16.037908648274627,3.453880003610213,14449.0,22888.416666666668
2025-12-24,2025-11-24,2025-12-23,active_fast_exec_model_top_quantile,12.0,-3.3461794180892124,6.656035859917419,0.25,8.042985045693582,2.002215278006631,11923.833333333334,9538.583333333334
2025-12-25,2025-11-25,2025-12-24,active_fast_exec_baseline,12.0,-13.761032887057205,-2.4414941368972047,0.08333333333333333,16.45358795819054,3.621315000174548,20316.25,25281.166666666668
2025-12-25,2025-11-25,2025-12-24,active_fast_exec_state_top_quantile,12.0,-28.58251154415315,-16.965928405317893,0.0,26.36400514421081,3.616583138835255,21784.916666666668,7880.166666666667
2025-12-25,2025-11-25,2025-12-24,active_fast_exec_model_top_quantile,12.0,-8.798935247241577,1.388721424932885,0.25,14.239472430947197,2.386534551463048,21151.0,35922.083333333336
2025-12-26,2025-11-26,2025-12-25,active_fast_exec_baseline,12.0,-14.626165349690597,-3.5130109613914127,0.25,16.899787242091453,3.1131543882991846,5192.083333333333,5760.666666666667
