symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2026-01-27,2026-01,1769480220000,1769480280000,11.753854,2.827238,-5.723059,10258.68,-5.87
CRVUSDT,2026-01-27,2026-01,1769480280000,1769480340000,11.806283,-0.000000,-8.408936,10258.10,-8.63
CRVUSDT,2026-01-27,2026-01,1769480340000,1769480400000,9.874075,-0.000000,-8.267574,10257.23,-8.48
SEIUSDT,2026-01-27,2026-01,1769532780000,1769532840000,44.082029,15.954953,7.937332,10256.39,8.14
SEIUSDT,2026-01-27,2026-01,1769535900000,1769535960000,18.457149,14.319807,6.553615,10257.20,6.72
CRVUSDT,2026-01-28,2026-01,1769559660000,1769559720000,12.385230,-2.889312,-12.224700,10257.87,-12.54
CRVUSDT,2026-01-28,2026-01,1769559720000,1769559780000,10.234753,23.186722,13.854774,10256.62,14.21
CRVUSDT,2026-01-28,2026-01,1769560620000,1769560680000,10.837419,2.907817,-4.983452,10258.04,-5.11
GALAUSDT,2026-01-28,2026-01,1769562000000,1769562060000,11.457434,8.271293,0.947450,10257.53,0.97
GALAUSDT,2026-01-28,2026-01,1769562120000,1769562180000,9.326445,11.598437,3.610779,10257.63,3.70
GALAUSDT,2026-01-28,2026-01,1769564520000,1769564580000,9.305673,20.001111,12.334444,10258.00,12.65
GALAUSDT,2026-01-29,2026-01,1769645760000,1769645820000,8.294594,10.162590,2.129037,10259.26,2.18
GALAUSDT,2026-01-29,2026-01,1769646360000,1769646420000,10.612238,22.036485,13.748220,10259.48,14.10
GALAUSDT,2026-01-29,2026-01,1769646600000,1769646660000,9.791242,-3.426739,-11.887199,10260.89,-12.20
CRVUSDT,2026-01-29,2026-01,1769647980000,1769648040000,8.809501,31.378855,23.667503,10259.67,24.28
CRVUSDT,2026-01-29,2026-01,1769664360000,1769664420000,11.692807,38.611810,30.088454,10262.10,30.88
CRVUSDT,2026-01-29,2026-01,1769668080000,1769668140000,12.544343,-5.910091,-15.321102,10265.19,-15.73
GALAUSDT,2026-01-30,2026-01,1769737860000,1769737920000,42.421354,16.644406,9.256082,10263.61,9.50
CRVUSDT,2026-01-30,2026-01,1769739000000,1769739060000,12.778193,18.824481,9.376992,10264.56,9.63
CRVUSDT,2026-01-30,2026-01,1769739720000,1769739780000,17.589760,-6.297190,-14.822343,10265.53,-15.22
CRVUSDT,2026-01-30,2026-01,1769744760000,1769744820000,14.995800,31.476235,22.959027,10264.00,23.57
GALAUSDT,2026-01-30,2026-01,1769771040000,1769771100000,20.233372,20.378948,12.804411,10266.36,13.15
GALAUSDT,2026-01-30,2026-01,1769779800000,1769779860000,8.309345,13.018412,5.158226,10267.68,5.30
CRVUSDT,2026-01-31,2026-01,1769819220000,1769819280000,8.572059,31.565657,23.040405,10268.21,23.66
CRVUSDT,2026-01-31,2026-01,1769819940000,1769820000000,11.221453,22.090967,12.621732,10270.57,12.96
CRVUSDT,2026-01-31,2026-01,1769823720000,1769823780000,12.054989,25.394805,15.587397,10271.87,16.01
GALAUSDT,2026-01-31,2026-01,1769845200000,1769845260000,19.305336,13.521344,5.589835,10273.47,5.74
GALAUSDT,2026-01-31,2026-01,1769854560000,1769854620000,14.976933,9.699316,1.760129,10274.04,1.81
GALAUSDT,2026-01-31,2026-01,1769854680000,1769854740000,12.254054,31.007757,22.874997,10274.22,23.50
SEIUSDT,2026-01-31,2026-01,1769871180000,1769871240000,23.224072,-1.036843,-8.727708,10276.57,-8.97
CRVUSDT,2026-02-01,2026-02,1769930460000,1769930520000,8.471174,38.135461,30.056579,10275.68,30.89
CRVUSDT,2026-02-01,2026-02,1769942940000,1769943000000,8.622369,41.594459,33.169437,10278.77,34.09
CRVUSDT,2026-02-01,2026-02,1769945220000,1769945280000,8.717676,45.169060,36.042975,10282.18,37.06
GALAUSDT,2026-02-01,2026-02,1769961000000,1769961060000,22.488523,6.428967,-1.387843,10285.88,-1.43
GALAUSDT,2026-02-01,2026-02,1769967840000,1769967900000,9.722477,-2.133554,-10.163993,10285.74,-10.45
GALAUSDT,2026-02-01,2026-02,1769967900000,1769967960000,12.559300,34.182562,26.152396,10284.69,26.90
CRVUSDT,2026-02-02,2026-02,1769994480000,1769994540000,9.698500,-3.610671,-11.386744,10287.38,-11.71
CRVUSDT,2026-02-02,2026-02,1769994540000,1769994600000,14.022443,35.714400,27.751335,10286.21,28.55
CRVUSDT,2026-02-02,2026-02,1770000900000,1770000960000,13.138005,10.865588,1.964542,10289.07,2.02
GALAUSDT,2026-02-02,2026-02,1770015480000,1770015540000,13.890227,8.560709,0.849298,10289.27,0.87
GALAUSDT,2026-02-02,2026-02,1770021240000,1770021300000,50.015607,14.934885,5.945440,10289.36,6.12
GALAUSDT,2026-02-02,2026-02,1770023100000,1770023160000,20.063783,25.684932,17.007155,10289.97,17.50
