symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2026-02-16,2026-02,1771201620000,1771201680000,14.251660,39.872408,28.034846,25490.49,71.46
GALAUSDT,2026-02-16,2026-02,1771204200000,1771204260000,12.748786,-2.483799,-12.930170,25508.35,-32.98
GALAUSDT,2026-02-16,2026-02,1771204260000,1771204320000,19.918437,-4.940332,-15.271469,25500.11,-38.94
CRVUSDT,2026-02-17,2026-02,1771288260000,1771288320000,9.489001,31.311159,20.909282,25490.37,53.30
GALAUSDT,2026-02-17,2026-02,1771290660000,1771290720000,8.872074,7.262152,-2.804914,25503.70,-7.15
CRVUSDT,2026-02-17,2026-02,1771290900000,1771290960000,19.523816,54.898908,42.336873,25501.91,107.97
CRVUSDT,2026-02-17,2026-02,1771291200000,1771291260000,13.987703,-35.258779,-45.662033,25528.90,-116.57
GALAUSDT,2026-02-17,2026-02,1771314180000,1771314240000,14.895165,27.049382,16.710296,25499.76,42.61
GALAUSDT,2026-02-17,2026-02,1771314540000,1771314600000,12.413542,24.576063,13.746120,25510.41,35.07
SEIUSDT,2026-02-17,2026-02,1771349880000,1771349940000,27.094405,6.750363,-3.458941,25519.18,-8.83
GALAUSDT,2026-02-18,2026-02,1771373580000,1771373640000,11.315070,4.940687,-5.907986,25516.97,-15.08
GALAUSDT,2026-02-18,2026-02,1771373640000,1771373700000,10.301657,2.472179,-8.006034,25513.20,-20.43
CRVUSDT,2026-02-18,2026-02,1771377180000,1771377240000,17.551184,39.840637,27.209438,25508.10,69.41
GALAUSDT,2026-02-18,2026-02,1771379100000,1771379160000,6.486688,17.385135,7.644822,25525.45,19.51
CRVUSDT,2026-02-18,2026-02,1771380960000,1771381020000,11.193257,43.921741,33.476610,25530.33,85.47
CRVUSDT,2026-02-18,2026-02,1771383300000,1771383360000,9.779200,43.883511,32.642365,25551.69,83.41
SEIUSDT,2026-02-18,2026-02,1771442820000,1771442880000,16.633732,-0.000000,-9.902494,25572.54,-25.32
SEIUSDT,2026-02-18,2026-02,1771442880000,1771442940000,23.551566,19.277679,9.512736,25566.21,24.32
SEIUSDT,2026-02-18,2026-02,1771444560000,1771444620000,16.904020,20.690608,10.509650,25572.29,26.88
CRVUSDT,2026-02-19,2026-02,1771459500000,1771459560000,6.987567,40.966817,28.006640,25579.01,71.64
GALAUSDT,2026-02-19,2026-02,1771459620000,1771459680000,12.049490,18.088510,6.610571,25596.92,16.92
CRVUSDT,2026-02-19,2026-02,1771459800000,1771459860000,14.750293,28.703623,16.355262,25601.15,41.87
CRVUSDT,2026-02-19,2026-02,1771460100000,1771460160000,18.046992,4.079892,-8.880453,25611.62,-22.74
GALAUSDT,2026-02-19,2026-02,1771460160000,1771460220000,14.516465,15.515891,4.939709,25605.93,12.65
GALAUSDT,2026-02-19,2026-02,1771461060000,1771461120000,10.155368,12.929915,2.869793,25609.10,7.35
GALAUSDT,2026-02-20,2026-02,1771547100000,1771547160000,8.462852,29.014683,17.468721,25610.93,44.74
GALAUSDT,2026-02-20,2026-02,1771547340000,1771547400000,12.051248,28.872080,17.604431,25622.12,45.11
GALAUSDT,2026-02-20,2026-02,1771547520000,1771547580000,13.825302,-10.471135,-20.952968,25633.39,-53.71
CRVUSDT,2026-02-20,2026-02,1771548660000,1771548720000,25.771087,49.775322,36.756377,25619.97,94.17
CRVUSDT,2026-02-20,2026-02,1771549200000,1771549260000,14.245910,-0.000000,-11.365222,25643.51,-29.14
CRVUSDT,2026-02-20,2026-02,1771549260000,1771549320000,8.872814,49.871865,38.713681,25636.22,99.25
SEIUSDT,2026-02-20,2026-02,1771564740000,1771564800000,18.218337,14.261266,4.014201,25661.03,10.30
SEIUSDT,2026-02-20,2026-02,1771569480000,1771569540000,24.088523,-4.215244,-14.295516,25663.61,-36.69
SEIUSDT,2026-02-20,2026-02,1771569540000,1771569600000,23.629407,14.074595,3.502644,25654.44,8.99
GALAUSDT,2026-02-21,2026-02,1771632420000,1771632480000,16.458536,5.102008,-5.960572,25656.68,-15.29
GALAUSDT,2026-02-21,2026-02,1771632480000,1771632540000,22.594777,2.552962,-8.254517,25652.86,-21.18
GALAUSDT,2026-02-21,2026-02,1771632540000,1771632600000,8.605350,20.470829,10.046098,25647.57,25.77
CRVUSDT,2026-02-21,2026-02,1771633200000,1771633260000,19.121048,40.518639,28.825293,25654.01,73.95
CRVUSDT,2026-02-21,2026-02,1771639620000,1771639680000,7.224630,48.810256,36.900232,25672.50,94.73
CRVUSDT,2026-02-21,2026-02,1771647780000,1771647840000,18.588485,-0.000000,-12.960344,25696.18,-33.30
SEIUSDT,2026-02-21,2026-02,1771693200000,1771693260000,18.561876,1.430157,-8.514260,25687.85,-21.87
SEIUSDT,2026-02-21,2026-02,1771706940000,1771707000000,16.048528,-0.000000,-10.156211,25682.39,-26.08
SEIUSDT,2026-02-21,2026-02,1771707360000,1771707420000,17.230542,11.316217,1.510587,25675.86,3.88
CRVUSDT,2026-02-22,2026-02,1771719780000,1771719840000,14.791184,-0.000000,-11.613995,25676.83,-29.82
CRVUSDT,2026-02-22,2026-02,1771719840000,1771719900000,11.772385,12.599685,1.404796,25669.38,3.61
CRVUSDT,2026-02-22,2026-02,1771721040000,1771721100000,15.826960,-4.203379,-16.462619,25670.28,-42.26
GALAUSDT,2026-02-22,2026-02,1771721880000,1771721940000,11.066934,18.193293,7.474985,25659.72,19.18
SEIUSDT,2026-02-22,2026-02,1771724100000,1771724160000,16.775573,15.647429,5.405923,25664.51,13.87
GALAUSDT,2026-02-22,2026-02,1771726860000,1771726920000,24.874688,15.584399,5.255397,25667.98,13.49
GALAUSDT,2026-02-22,2026-02,1771728120000,1771728180000,6.031154,-5.227369,-15.572912,25671.35,-39.98
SEIUSDT,2026-02-22,2026-02,1771731180000,1771731240000,23.206837,5.721626,-4.028282,25661.36,-10.34
SEIUSDT,2026-02-22,2026-02,1771757700000,1771757760000,17.800833,-2.838471,-13.578683,25658.77,-34.84
GALAUSDT,2026-02-23,2026-02,1771806540000,1771806600000,8.334403,8.289571,-1.619721,25650.06,-4.15
CRVUSDT,2026-02-23,2026-02,1771806900000,1771806960000,21.070659,-4.345912,-15.208963,25649.02,-39.01
CRVUSDT,2026-02-23,2026-02,1771806960000,1771807020000,19.582690,8.695613,-2.384923,25639.27,-6.11
CRVUSDT,2026-02-23,2026-02,1771807020000,1771807080000,21.784127,-0.000000,-10.428460,25637.74,-26.74
GALAUSDT,2026-02-23,2026-02,1771808340000,1771808400000,12.832966,11.118609,0.497855,25631.06,1.28
GALAUSDT,2026-02-23,2026-02,1771809180000,1771809240000,16.543796,23.078034,12.519399,25631.38,32.09
SEIUSDT,2026-02-23,2026-02,1771810380000,1771810440000,28.085016,6.039391,-4.315781,25639.40,-11.07
SEIUSDT,2026-02-23,2026-02,1771868880000,1771868940000,28.526193,18.210330,7.911668,25636.63,20.28
CRVUSDT,2026-02-24,2026-02,1771893840000,1771893900000,8.822401,75.851060,62.914457,25641.70,161.32
CRVUSDT,2026-02-24,2026-02,1771895580000,1771895640000,11.489356,36.092945,24.685728,25682.04,63.40
CRVUSDT,2026-02-24,2026-02,1771895880000,1771895940000,11.775896,-0.000000,-10.285195,25697.88,-26.43
GALAUSDT,2026-02-24,2026-02,1771902060000,1771902120000,12.828396,31.925280,21.642595,25691.28,55.60
GALAUSDT,2026-02-24,2026-02,1771902780000,1771902840000,11.757276,2.906125,-7.670472,25705.18,-19.72
GALAUSDT,2026-02-24,2026-02,1771902900000,1771902960000,24.692423,5.864911,-4.284257,25700.25,-11.01
SEIUSDT,2026-02-24,2026-02,1771933260000,1771933320000,17.263119,6.171867,-4.081404,25697.50,-10.49
SEIUSDT,2026-02-24,2026-02,1771956540000,1771956600000,19.906891,3.040432,-6.807614,25694.87,-17.49
SEIUSDT,2026-02-24,2026-02,1771958700000,1771958760000,16.415595,12.158978,2.161500,25690.50,5.55
GALAUSDT,2026-02-25,2026-02,1771983900000,1771983960000,11.153480,2.797190,-8.254872,25691.89,-21.21
GALAUSDT,2026-02-25,2026-02,1771983960000,1771984020000,15.831121,-0.000000,-10.352293,25686.59,-26.59
GALAUSDT,2026-02-25,2026-02,1771984800000,1771984860000,7.011119,33.638575,22.868991,25679.94,58.73
CRVUSDT,2026-02-25,2026-02,1771995600000,1771995660000,7.214240,42.826552,32.221459,25694.62,82.79
SEIUSDT,2026-02-25,2026-02,1772027100000,1772027160000,23.527054,14.343087,3.798111,25715.32,9.77
SEIUSDT,2026-02-25,2026-02,1772027940000,1772028000000,19.729514,14.388486,4.484172,25717.76,11.53
CRVUSDT,2026-02-25,2026-02,1772031840000,1772031900000,15.428064,28.101219,18.044726,25720.64,46.41
SEIUSDT,2026-02-25,2026-02,1772059440000,1772059500000,19.237742,5.548207,-4.778147,25732.25,-12.30
CRVUSDT,2026-02-26,2026-02,1772065440000,1772065500000,8.325040,51.068219,39.481885,25729.17,101.58
GALAUSDT,2026-02-26,2026-02,1772073180000,1772073240000,7.911510,28.679103,18.734800,25754.57,48.25
CRVUSDT,2026-02-26,2026-02,1772078880000,1772078940000,11.586478,-19.786102,-30.420840,25766.63,-78.38
CRVUSDT,2026-02-26,2026-02,1772091660000,1772091720000,13.145598,71.738564,60.099966,25747.04,154.74
CRVUSDT,2026-02-27,2026-02,1772153520000,1772153580000,6.036616,44.078542,33.424696,25785.72,86.19
CRVUSDT,2026-02-27,2026-02,1772162580000,1772162640000,7.966463,43.921741,33.675733,25807.27,86.91
CRVUSDT,2026-02-27,2026-02,1772162760000,1772162820000,6.155198,3.988824,-5.858620,25828.99,-15.13
GALAUSDT,2026-02-27,2026-02,1772205120000,1772205180000,7.669333,5.417104,-5.004150,25825.21,-12.92
GALAUSDT,2026-02-27,2026-02,1772211120000,1772211180000,22.786331,-2.729994,-12.894355,25821.98,-33.30
GALAUSDT,2026-02-27,2026-02,1772216640000,1772216700000,22.367252,38.081926,27.521146,25813.66,71.04
GALAUSDT,2026-02-28,2026-02,1772248920000,1772248980000,28.607815,21.994640,11.545705,25831.42,29.82
CRVUSDT,2026-02-28,2026-02,1772249580000,1772249640000,10.451913,45.686239,34.113980,25838.87,88.15
CRVUSDT,2026-02-28,2026-02,1772250900000,1772250960000,8.879991,54.349592,44.220329,25860.91,114.36
CRVUSDT,2026-02-28,2026-02,1772251140000,1772251200000,16.388355,-0.000000,-11.391317,25889.50,-29.49
GALAUSDT,2026-02-28,2026-02,1772262540000,1772262600000,20.884891,31.822845,21.547968,25882.13,55.77
GALAUSDT,2026-02-28,2026-02,1772262720000,1772262780000,17.022898,5.833715,-4.298202,25896.07,-11.13
CRVUSDT,2026-03-01,2026-03,1772323800000,1772323860000,8.621081,-0.000000,-11.837562,25893.29,-30.65
CRVUSDT,2026-03-01,2026-03,1772323860000,1772323920000,10.076250,39.872408,28.432615,25885.62,73.60
CRVUSDT,2026-03-01,2026-03,1772324400000,1772324460000,8.184315,-0.000000,-9.847444,25904.02,-25.51
GALAUSDT,2026-03-01,2026-03,1772324880000,1772324940000,7.268319,39.174940,29.107462,25897.65,75.38
GALAUSDT,2026-03-01,2026-03,1772327940000,1772328000000,32.830192,25.430913,14.496858,25916.49,37.57
GALAUSDT,2026-03-01,2026-03,1772342280000,1772342340000,16.582686,-8.248513,-18.979446,25925.88,-49.21
CRVUSDT,2026-03-02,2026-03,1772414400000,1772414460000,9.360275,8.176604,-2.118219,25913.58,-5.49
CRVUSDT,2026-03-02,2026-03,1772415900000,1772415960000,13.356416,28.710361,16.770324,25912.21,43.46
CRVUSDT,2026-03-02,2026-03,1772416500000,1772416560000,18.217799,49.187052,36.634697,25923.07,94.97
GALAUSDT,2026-03-02,2026-03,1772419560000,1772419620000,10.440675,-8.467373,-18.131800,25946.82,-47.05
GALAUSDT,2026-03-02,2026-03,1772419620000,1772419680000,15.396174,25.437302,14.502769,25935.05,37.61
GALAUSDT,2026-03-02,2026-03,1772441700000,1772441760000,7.200694,25.964035,15.694749,25944.46,40.72
