symbol,day,month,entry_ts_ms,exit_ts_ms,gross_pnl_bps,entry_spread_bps,entry_spread_abs_bps,entry_spread_velocity_bps,ls_diff_signed,oi_diff_signed_bps,carry_diff_signed_bps,score,net_pnl_bps_25pct_model,is_winner_25pct_model,bybit_book_lag_ms,bybit_best_bid,bybit_best_ask,bybit_book_spread_bps,bybit_top5_bid_notional,bybit_top5_ask_notional,bybit_top5_imbalance,bybit_trade_count_5s,bybit_buy_notional_5s,bybit_sell_notional_5s,bybit_trade_imbalance_5s,binance_depth_lag_ms,binance_bid_notional_1pct,binance_ask_notional_1pct,binance_depth_imbalance_1pct,binance_trade_count_5s,binance_buy_notional_5s,binance_sell_notional_5s,binance_trade_imbalance_5s
GALAUSDT,2026-02-28,2026-02,1772297640000,1772297700000,2.921403,-20.485806,20.485806,0.000000,0.863135,23.705048,31.696761,21.452525,-7.377178,0,0,0.003417,0.003418,2.926116,34840.041261,35286.059513,-0.006360,0.000000,0,0,nan,0,366363.046750,295025.460150,0.107860,3.000000,0,61.380000,-1.000000
GALAUSDT,2026-02-28,2026-02,1772298000000,1772298060000,49.532959,-32.060624,32.060624,5.813905,0.868111,64.741903,33.404332,30.518657,37.786201,1,0,0.003429,0.003430,2.915877,36660.751933,29389.593798,0.110085,3.000000,0,881.945658,-1.000000,29000,331367.131090,232644.291710,0.175037,2.000000,0,17.271000,-1.000000
GALAUSDT,2026-02-28,2026-02,1772298180000,1772298240000,2.907800,-29.154519,29.154519,11.692354,0.868111,64.741903,9.426629,18.529806,-8.842270,0,0,0.003435,0.003436,2.910784,39403.322183,30534.568409,0.126809,0.000000,0,0,nan,29000,327149.992000,250606.501120,0.132484,2.000000,0,25.200210,-1.000000
GALAUSDT,2026-02-28,2026-02,1772298240000,1772298300000,-2.907800,-26.246719,26.246719,2.907800,0.868111,64.741903,34.793867,31.213425,-13.927862,0,0,0.003429,0.003430,2.915877,31120.459527,32438.308633,-0.020734,0.000000,0,0,nan,29000,316989.134310,349758.991170,-0.049149,1.000000,0,23.922900,-1.000000
GALAUSDT,2026-02-28,2026-02,1772298600000,1772298660000,-0.000000,-20.426029,20.426029,2.911194,0.862591,42.426521,18.214081,18.454936,-10.438163,0,0,0.003428,0.003429,2.916727,30850.508771,36159.125678,-0.079222,0.000000,0,0,nan,27000,415646.913900,247340.748430,0.253860,5.000000,0,108.844920,-1.000000
GALAUSDT,2026-02-28,2026-02,1772298660000,1772298720000,-8.728490,-20.426029,20.426029,0.000000,0.862591,42.426521,16.293181,17.494486,-19.021093,0,0,0.003427,0.003428,2.917578,35252.681407,33451.403516,0.026218,0.000000,0,0,nan,27000,408892.404610,262478.798510,0.218081,1.000000,0,167.757840,-1.000000
GALAUSDT,2026-02-28,2026-02,1772298720000,1772298780000,2.907800,-29.154519,29.154519,8.728490,0.862591,42.426521,18.932003,18.813897,-8.694076,0,0,0.003427,0.003428,2.917578,40016.241384,32213.931733,0.108020,0.000000,0,0,nan,0,405197.623020,265681.453110,0.207960,3.000000,0,67.951980,-1.000000
GALAUSDT,2026-02-28,2026-02,1772298780000,1772298840000,-0.000000,-26.246719,26.246719,2.907800,0.862591,42.426521,24.489445,21.592618,-11.020062,0,0,0.003429,0.003430,2.915877,41105.198724,34031.930942,0.094138,9.000000,1028.986989,0,1.000000,0,401619.434970,227416.657830,0.276936,1.000000,0,79.891200,-1.000000
GALAUSDT,2026-02-28,2026-02,1772300700000,1772300760000,-2.919694,-20.485806,20.485806,2.919694,0.859627,71.437068,17.678253,23.986167,-13.364259,0,0,0.003417,0.003418,2.926116,24911.269734,33921.151012,-0.153145,0.000000,0,0,nan,28000,316997.930420,233995.297920,0.150642,3.000000,0,4280.671890,-1.000000
GALAUSDT,2026-02-28,2026-02,1772300880000,1772300940000,-2.904433,-17.462165,17.462165,0.000000,0.859627,71.437068,8.784637,19.539359,-12.900650,0,0,0.003436,0.003437,2.909937,25419.666891,20212.939366,0.114101,7.000000,265.908936,0,1.000000,0,256840.794110,266378.890340,-0.018230,6.000000,16.061360,149.530850,-0.806013
