ts,density,avg_clustering,n_components,eigvec_dispersion
2025-11-06 08:55:00+00:00,0.7956349206349206,0.8905575398033745,1,70798461077.96033
2025-11-06 09:55:00+00:00,0.7028769841269841,0.8339754756093742,1,66543715000.84364
2025-11-06 10:55:00+00:00,0.6959325396825397,0.8297091191491065,1,66214172115.754456
2025-11-06 11:55:00+00:00,0.5768849206349206,0.709006303306408,1,60285309247.96888
2025-11-06 12:55:00+00:00,0.5639880952380952,0.7226156538270219,1,59608028909.62568
2025-11-06 13:55:00+00:00,0.8129960317460317,0.8937546428506185,1,71567117130.57571
2025-11-06 14:55:00+00:00,0.8229166666666666,0.9021910175004677,1,72002124489.07478
2025-11-06 15:55:00+00:00,0.8229166666666666,0.9270394227655305,1,72002364303.52533
2025-11-06 16:55:00+00:00,0.8442460317460317,0.9219910455129715,1,72929517824.98447
2025-11-06 17:55:00+00:00,0.8189484126984127,0.9019026454409853,1,71828470510.30606
2025-11-06 18:55:00+00:00,0.8000992063492064,0.8979010594721657,1,70996649706.77797
2025-11-06 19:55:00+00:00,0.7743055555555556,0.8840449934309571,1,69843265057.09102
2025-11-06 20:55:00+00:00,0.7777777777777778,0.9094322837856913,1,69999766853.94131
2025-11-06 21:55:00+00:00,0.8030753968253969,0.8992280083517692,1,71128572985.06897
2025-11-06 22:55:00+00:00,0.7926587301587301,0.8867279617816104,1,70665685578.80112
2025-11-06 23:55:00+00:00,0.8199404761904762,0.9116517934675963,1,71872282557.32523
2025-11-07 00:55:00+00:00,0.8080357142857143,0.9050843872963121,1,71347744633.15446
2025-11-07 01:55:00+00:00,0.84375,0.9220022891607178,1,72907685306.76126
2025-11-07 02:55:00+00:00,0.8531746031746031,0.937853045617667,1,73314065913.21983
2025-11-07 03:55:00+00:00,0.8908730158730159,0.9380179636295528,1,74915954931.51384
2025-11-07 04:55:00+00:00,0.9012896825396826,0.9439869788892132,1,75353083389.32323
2025-11-07 05:55:00+00:00,0.8611111111111112,0.9345913937157918,1,73654108678.3573
2025-11-07 06:55:00+00:00,0.8596230158730159,0.9159701118572209,1,73590685041.45636
2025-11-07 07:55:00+00:00,0.8065476190476191,0.8877078090023491,1,71282728867.46257
2025-11-07 08:55:00+00:00,0.7822420634920635,0.8807960382490247,1,70200449534.18402
2025-11-07 09:55:00+00:00,0.7981150793650794,0.9006019544363548,1,70908721946.94385
2025-11-07 10:55:00+00:00,0.8234126984126984,0.904191910719673,1,72024141528.71916
2025-11-07 11:55:00+00:00,0.7906746031746031,0.8888969450847972,1,70577579283.19781
2025-11-07 12:55:00+00:00,0.7916666666666666,0.8856421391363669,1,70622077646.61438
2025-11-07 13:55:00+00:00,0.8482142857142857,0.9153181282371818,1,73100551796.48868
2025-11-07 14:55:00+00:00,0.8531746031746031,0.9273193116040579,1,73314310097.84079
2025-11-07 15:55:00+00:00,0.9241071428571429,0.9572043331509252,1,76300788755.69693
2025-11-07 16:55:00+00:00,0.9047619047619048,0.9672655461545845,1,75498260532.80035
2025-11-07 17:55:00+00:00,0.8665674603174603,0.9403729113506738,1,73887091343.75807
2025-11-07 18:55:00+00:00,0.7837301587301587,0.875025976463963,1,70266878541.33746
2025-11-07 19:55:00+00:00,0.7400793650793651,0.833734087687174,1,68282122376.81613
2025-11-07 20:55:00+00:00,0.7435515873015873,0.8259175768845993,1,68441886223.95566
2025-11-07 21:55:00+00:00,0.6989087301587301,0.7971465032825652,1,66355678851.92259
2025-11-07 22:55:00+00:00,0.7073412698412699,0.840717518927879,1,66754853162.993515
2025-11-07 23:55:00+00:00,0.7192460317460317,0.828031371481128,1,67314560089.18125
2025-11-08 00:55:00+00:00,0.6046626984126984,0.7508139408069108,1,61719723342.19491
2025-11-08 01:55:00+00:00,0.6741071428571429,0.8003306237003709,1,65167834936.19293
2025-11-08 02:55:00+00:00,0.7217261904761905,0.835032735759335,1,67430444933.473366
2025-11-08 03:55:00+00:00,0.7420634920634921,0.8435263310881471,1,68373743925.57241
2025-11-08 04:55:00+00:00,0.7713293650793651,0.8779132835319469,1,69708907898.25511
2025-11-08 05:55:00+00:00,0.7951388888888888,0.8888240595942631,1,70776152561.31873
2025-11-08 06:55:00+00:00,0.8065476190476191,0.890994211614547,1,71282649727.9993
2025-11-08 07:55:00+00:00,0.8125,0.8911024579951552,1,71545360674.96422
2025-11-08 08:55:00+00:00,0.7921626984126984,0.874137428076567,1,70644355754.72394
2025-11-08 09:55:00+00:00,0.7762896825396826,0.8581843859939344,2,69932848371.37991
2025-11-08 10:55:00+00:00,0.7509920634920635,0.8444549530051964,1,68783624270.00775
2025-11-08 11:55:00+00:00,0.6969246031746031,0.81988346905376,1,66261644273.0866
2025-11-08 12:55:00+00:00,0.6334325396825397,0.7568210511338594,1,63171253574.10594
2025-11-08 13:55:00+00:00,0.6800595238095238,0.8060072739660752,1,65454919299.254776
2025-11-08 14:55:00+00:00,0.7361111111111112,0.872322440264492,1,68098587522.42272
2025-11-08 15:55:00+00:00,0.7653769841269841,0.8832627357472624,1,69439259503.26743
2025-11-08 16:55:00+00:00,0.7881944444444444,0.8799970445013494,1,70466878011.47517
2025-11-08 17:55:00+00:00,0.78125,0.8805179188639911,1,70155998113.20697
2025-11-08 18:55:00+00:00,0.8040674603174603,0.907294551059487,1,71172730121.81157
2025-11-08 19:55:00+00:00,0.8080357142857143,0.9139307036544424,1,71348536751.36343
2025-11-08 20:55:00+00:00,0.7906746031746031,0.8957412387839905,1,70577892710.264
2025-11-08 21:55:00+00:00,0.7197420634920635,0.841569864276902,1,67337618486.22924
2025-11-08 22:55:00+00:00,0.6220238095238095,0.7611429209731833,1,62599572630.31028
2025-11-08 23:55:00+00:00,0.6061507936507936,0.744366085082499,1,61795623829.995026
2025-11-09 00:55:00+00:00,0.6954365079365079,0.8093643387808073,1,66190937987.66524
2025-11-09 01:55:00+00:00,0.7023809523809523,0.8164601153122784,1,66520378068.42903
2025-11-09 02:55:00+00:00,0.7410714285714286,0.8581584276989465,1,68327493256.02002
2025-11-09 03:55:00+00:00,0.8382936507936508,0.9250110053459957,1,72671644496.61252
2025-11-09 04:55:00+00:00,0.841765873015873,0.9324575609996011,1,72822154073.98674
2025-11-09 05:55:00+00:00,0.8566468253968254,0.9215850719880234,1,73463100032.87515
2025-11-09 06:55:00+00:00,0.8526785714285714,0.9282487037198104,1,73292750586.14828
2025-11-09 07:55:00+00:00,0.8571428571428571,0.9433057731905456,1,73484121197.15233
2025-11-09 08:55:00+00:00,0.8591269841269841,0.9330188724276239,1,73569531490.63525
2025-11-09 09:55:00+00:00,0.6140873015873016,0.7533017695476378,1,62199000304.074684
2025-11-09 10:55:00+00:00,0.7321428571428571,0.8383525658372685,1,67915313134.88623
2025-11-09 11:55:00+00:00,0.7728174603174603,0.8796228844456491,1,69776196283.34525
2025-11-09 12:55:00+00:00,0.7728174603174603,0.8732051247793473,1,69776428684.7643
2025-11-09 13:55:00+00:00,0.7495039682539683,0.8664258051760567,1,68715366608.74859
2025-11-09 14:55:00+00:00,0.7380952380952381,0.8754484925077699,1,68190832777.89669
2025-11-09 15:55:00+00:00,0.7559523809523809,0.8818408219444569,1,69010562240.75066
2025-11-09 16:55:00+00:00,0.654265873015873,0.7883779552383383,1,64201545079.84703
2025-11-09 17:55:00+00:00,0.5719246031746031,0.727446006857851,1,60025969375.50159
2025-11-09 18:55:00+00:00,0.6334325396825397,0.7758978689548173,1,63171253574.10594
2025-11-09 19:55:00+00:00,0.6443452380952381,0.7960817891498752,1,63713012479.91297
2025-11-09 20:55:00+00:00,0.625,0.7839687159641378,1,62749292992.92612
2025-11-09 21:55:00+00:00,0.6448412698412699,0.7767624888145186,1,63737390106.319695
2025-11-09 22:55:00+00:00,0.6344246031746031,0.8016580591579711,1,63220421949.40054
2025-11-09 23:55:00+00:00,0.6259920634920635,0.8104719192528164,1,62799213714.26934
2025-11-10 00:55:00+00:00,0.7232142857142857,0.8526649752547728,1,67499850120.22451
2025-11-10 01:55:00+00:00,0.7807539682539683,0.9054417604998641,1,70133489240.2695
2025-11-10 02:55:00+00:00,0.7698412698412699,0.8856627339232477,1,69641864067.91965
2025-11-10 03:55:00+00:00,0.7470238095238095,0.8691254267206017,1,68601656691.228485
2025-11-10 04:55:00+00:00,0.7405753968253969,0.8659646990957273,1,68304925459.365685
2025-11-10 05:55:00+00:00,0.7266865079365079,0.8556517096221048,1,67661767893.96919
2025-11-10 06:55:00+00:00,0.6870039682539683,0.8188423524343558,1,65788267715.7551
2025-11-10 07:55:00+00:00,0.5863095238095238,0.7198296034063887,1,60775419214.479225
2025-11-10 08:55:00+00:00,0.6111111111111112,0.7378707876083623,1,62048092681.06975
2025-11-10 09:55:00+00:00,0.7172619047619048,0.8270687483423189,1,67221499037.03179
2025-11-10 10:55:00+00:00,0.7713293650793651,0.8732403586531153,1,69708907898.25522
2025-11-10 11:55:00+00:00,0.7857142857142857,0.886595738360564,1,70355299076.47624
2025-11-10 12:55:00+00:00,0.7797619047619048,0.8963691798458536,1,70088761959.43716
2025-11-10 13:55:00+00:00,0.7956349206349206,0.9048147825100528,1,70798775485.23953
2025-11-10 14:55:00+00:00,0.8338293650793651,0.9339325309760329,1,72478445071.62112
2025-11-10 15:55:00+00:00,0.78125,0.8840229064431392,1,70155920224.5755
2025-11-10 16:55:00+00:00,0.7157738095238095,0.8605017167679346,1,67151730986.02074
2025-11-10 17:55:00+00:00,0.7534722222222222,0.8746813867641958,1,68897109950.65652
2025-11-10 18:55:00+00:00,0.7524801587301587,0.878212744277403,1,68851738124.89227
2025-11-10 19:55:00+00:00,0.753968253968254,0.8809390218702862,1,68919402085.47362
2025-11-10 20:55:00+00:00,0.7217261904761905,0.8385005443149443,1,67430145483.80554
2025-11-10 21:55:00+00:00,0.7529761904761905,0.8603886789186925,1,68874733637.14938
2025-11-10 22:55:00+00:00,0.7594246031746031,0.8747430905995844,1,69169176661.28465
2025-11-10 23:55:00+00:00,0.7400793650793651,0.8620647967659518,1,68282122376.816154
2025-11-11 00:55:00+00:00,0.7673611111111112,0.8954274956408325,1,69529592732.51215
2025-11-11 01:55:00+00:00,0.8115079365079365,0.909320616830764,1,71501589464.95361
