symbol,state,horizon,threshold,n_state,p_up,p_down,p_big,skew_ratio,p_up_base,p_down_base,uplift_up,uplift_down
1000TURBOUSDT,S09_stall_fund,12h,300bp,38,0.34210526315789475,0.0,0.34210526315789475,342105.2631578948,0.15880503144654087,0.2275943396226415,2.1542470036477335,0.0
1000TURBOUSDT,S09_stall_fund,24h,100bp,38,0.868421052631579,0.07894736842105263,0.9473684210526315,11.000000000000002,0.3298611111111111,0.5036057692307693,2.6326869806094186,0.156764225599799
1000TURBOUSDT,S09_stall_fund,24h,200bp,38,0.868421052631579,0.07894736842105263,0.9473684210526315,11.000000000000002,0.2690972222222222,0.4326923076923077,3.2271646859083196,0.18245614035087718
1000TURBOUSDT,S09_stall_fund,24h,300bp,38,0.868421052631579,0.02631578947368421,0.8947368421052632,33.0,0.21834935897435898,0.3530982905982906,3.977209077740222,0.07452822676964725
1000TURBOUSDT,S10_thin_move,12h,100bp,206,0.33495145631067963,0.3883495145631068,0.7233009708737864,0.8625,0.3390985324947589,0.45964360587002095,0.9877702915622515,0.8448926725044559
1000TURBOUSDT,S10_thin_move,12h,200bp,206,0.22330097087378642,0.2961165048543689,0.5194174757281553,0.7540983606557378,0.2344077568134172,0.33831236897274636,0.9526176689260692,0.8752754318545869
1000TURBOUSDT,S10_thin_move,12h,300bp,206,0.13106796116504854,0.16990291262135923,0.30097087378640774,0.7714285714285714,0.15880503144654087,0.2275943396226415,0.825338844564068,0.7465164243674229
1000TURBOUSDT,S10_thin_move,24h,100bp,205,0.36585365853658536,0.3170731707317073,0.6829268292682927,1.1538461538461537,0.3298611111111111,0.5036057692307693,1.1091142490372272,0.6296059141975667
1000TURBOUSDT,S10_thin_move,24h,200bp,205,0.2926829268292683,0.2780487804878049,0.5707317073170731,1.0526315789473684,0.2690972222222222,0.4326923076923077,1.0876475216365067,0.6426016260162601
1000TURBOUSDT,S10_thin_move,24h,300bp,205,0.21951219512195122,0.2146341463414634,0.43414634146341463,1.0227272727272727,0.21834935897435898,0.3530982905982906,1.0053255761915418,0.6078594885797571
2ZUSDT,S06_compress_vol,12h,100bp,14,0.07142857142857142,0.9285714285714286,1.0,0.07692307692307691,0.3182651991614256,0.46750524109014674,0.22443098276774684,1.9862267777065985
2ZUSDT,S06_compress_vol,12h,200bp,14,0.07142857142857142,0.9285714285714286,1.0,0.07692307692307691,0.22877358490566038,0.3417190775681342,0.3122238586156112,2.717353198948291
2ZUSDT,S06_compress_vol,12h,300bp,14,0.0,0.5714285714285714,0.5714285714285714,0.0,0.1405922431865828,0.2304769392033543,0.0,2.479330788597417
2ZUSDT,S06_compress_vol,24h,100bp,14,0.2857142857142857,0.5,0.7857142857142857,0.5714285714285714,0.35884081196581197,0.5044070512820513,0.7962145781274921,0.9912629070691024
