symbol,state,target,variant,nS_test,p0_test,pS_test,uplift_test
ATHUSDT,S07_compress_oi,big_B_24h,leaked,62,0.34655448717948717,0.3870967741935484,1.1169867611411524
ATHUSDT,S08_stall_oi,big_A_k3.0_24h,normal,12,0.00641025641025641,0.0,0.0
ATHUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,11,0.00641025641025641,0.0,0.0
ATHUSDT,S08_stall_oi,big_B_24h,normal,12,0.34655448717948717,0.16666666666666666,0.48092485549132946
ATHUSDT,S08_stall_oi,big_B_24h,leaked,11,0.34655448717948717,0.2727272727272727,0.7869679453494483
ATOMUSDT,S03_oi_surge,big_A_k3.0_24h,normal,334,0.0,0.0,0.0
ATOMUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,334,0.0,0.0,0.0
ATOMUSDT,S03_oi_surge,big_B_24h,normal,334,0.2520032051282051,0.2694610778443114,1.069276391572975
ATOMUSDT,S03_oi_surge,big_B_24h,leaked,334,0.2520032051282051,0.2634730538922156,1.0455146939824644
ATOMUSDT,S07_compress_oi,big_A_k3.0_24h,normal,51,0.0,0.0,0.0
ATOMUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,52,0.0,0.0,0.0
ATOMUSDT,S07_compress_oi,big_B_24h,normal,51,0.2520032051282051,0.21568627450980393,0.8558870288974096
ATOMUSDT,S07_compress_oi,big_B_24h,leaked,52,0.2520032051282051,0.23076923076923078,0.9157392686804452
ATOMUSDT,S08_stall_oi,big_A_k3.0_24h,normal,47,0.0,0.0,0.0
ATOMUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,43,0.0,0.0,0.0
ATOMUSDT,S08_stall_oi,big_B_24h,normal,47,0.2520032051282051,0.2978723404255319,1.18201806311944
ATOMUSDT,S08_stall_oi,big_B_24h,leaked,43,0.2520032051282051,0.3023255813953488,1.199689429511591
AUCTIONUSDT,S03_oi_surge,big_A_k3.0_24h,normal,165,0.0,0.0,0.0
AUCTIONUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,165,0.0,0.0,0.0
AUCTIONUSDT,S03_oi_surge,big_B_24h,normal,165,0.1985844017094017,0.2727272727272727,1.3733569725499786
AUCTIONUSDT,S03_oi_surge,big_B_24h,leaked,165,0.1985844017094017,0.26666666666666666,1.3428379287155348
AUCTIONUSDT,S07_compress_oi,big_A_k3.0_24h,normal,27,0.0,0.0,0.0
AUCTIONUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,28,0.0,0.0,0.0
AUCTIONUSDT,S07_compress_oi,big_B_24h,normal,27,0.1985844017094017,0.07407407407407407,0.3730105357543152
AUCTIONUSDT,S07_compress_oi,big_B_24h,leaked,28,0.1985844017094017,0.03571428571428571,0.1798443654529734
AUCTIONUSDT,S08_stall_oi,big_A_k3.0_24h,normal,15,0.0,0.0,0.0
AUCTIONUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,18,0.0,0.0,0.0
AUCTIONUSDT,S08_stall_oi,big_B_24h,normal,15,0.1985844017094017,0.2,1.007128446536651
AUCTIONUSDT,S08_stall_oi,big_B_24h,leaked,18,0.1985844017094017,0.1111111111111111,0.5595158036314728
AVNTUSDT,S03_oi_surge,big_A_k3.0_24h,normal,144,0.0,0.0,0.0
AVNTUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,144,0.0,0.0,0.0
AVNTUSDT,S03_oi_surge,big_B_24h,normal,144,0.25841346153846156,0.25,0.9674418604651162
AVNTUSDT,S03_oi_surge,big_B_24h,leaked,144,0.25841346153846156,0.25,0.9674418604651162
AVNTUSDT,S07_compress_oi,big_A_k3.0_24h,normal,2,,,
AVNTUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,1,,,
AVNTUSDT,S07_compress_oi,big_B_24h,normal,2,,,
AVNTUSDT,S07_compress_oi,big_B_24h,leaked,1,,,
AVNTUSDT,S08_stall_oi,big_A_k3.0_24h,normal,24,0.0,0.0,0.0
AVNTUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,24,0.0,0.0,0.0
AVNTUSDT,S08_stall_oi,big_B_24h,normal,24,0.25841346153846156,0.3333333333333333,1.2899224806201548
AVNTUSDT,S08_stall_oi,big_B_24h,leaked,24,0.25841346153846156,0.25,0.9674418604651162
BANUSDT,S03_oi_surge,big_A_k3.0_24h,normal,254,0.0,0.0,0.0
BANUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,253,0.0,0.0,0.0
BANUSDT,S03_oi_surge,big_B_24h,normal,254,0.4025106837606838,0.33070866141732286,0.8216146173500045
BANUSDT,S03_oi_surge,big_B_24h,leaked,253,0.4025106837606838,0.33201581027667987,0.824862105956131
BANUSDT,S07_compress_oi,big_A_k3.0_24h,normal,0,,,
BANUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,0,,,
BANUSDT,S07_compress_oi,big_B_24h,normal,0,,,
BANUSDT,S07_compress_oi,big_B_24h,leaked,0,,,
BANUSDT,S08_stall_oi,big_A_k3.0_24h,normal,56,0.0,0.0,0.0
BANUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,56,0.0,0.0,0.0
BANUSDT,S08_stall_oi,big_B_24h,normal,56,0.4025106837606838,0.4107142857142857,1.0203810787752392
BANUSDT,S08_stall_oi,big_B_24h,leaked,56,0.4025106837606838,0.42857142857142855,1.0647454735045976
BARDUSDT,S03_oi_surge,big_A_k3.0_24h,normal,190,0.002003205128205128,0.0,0.0
BARDUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,190,0.002003205128205128,0.0,0.0
BARDUSDT,S03_oi_surge,big_B_24h,normal,190,0.17160790598290598,0.22105263157894736,1.2881261519557647
BARDUSDT,S03_oi_surge,big_B_24h,leaked,190,0.17160790598290598,0.22631578947368422,1.318795822240426
BARDUSDT,S07_compress_oi,big_A_k3.0_24h,normal,63,0.002003205128205128,0.0,0.0
BARDUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,65,0.002003205128205128,0.0,0.0
BARDUSDT,S07_compress_oi,big_B_24h,normal,63,0.17160790598290598,0.0,0.0
BARDUSDT,S07_compress_oi,big_B_24h,leaked,65,0.17160790598290598,0.0,0.0
BARDUSDT,S08_stall_oi,big_A_k3.0_24h,normal,39,0.002003205128205128,0.0,0.0
BARDUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,39,0.002003205128205128,0.0,0.0
BARDUSDT,S08_stall_oi,big_B_24h,normal,39,0.17160790598290598,0.15384615384615385,0.8964980544747082
BARDUSDT,S08_stall_oi,big_B_24h,leaked,39,0.17160790598290598,0.1794871794871795,1.0459143968871596
BEATUSDT,S03_oi_surge,big_A_k3.0_24h,normal,213,0.0,0.0,0.0
BEATUSDT,S03_oi_surge,big_A_k3.0_24h,leaked,213,0.0,0.0,0.0
BEATUSDT,S03_oi_surge,big_B_24h,normal,213,0.5643696581196581,0.5446009389671361,0.9649720376208981
BEATUSDT,S03_oi_surge,big_B_24h,leaked,213,0.5643696581196581,0.5492957746478874,0.9732907620831474
BEATUSDT,S07_compress_oi,big_A_k3.0_24h,normal,67,0.0,0.0,0.0
BEATUSDT,S07_compress_oi,big_A_k3.0_24h,leaked,67,0.0,0.0,0.0
BEATUSDT,S07_compress_oi,big_B_24h,normal,67,0.5643696581196581,0.26865671641791045,0.47602969534721096
BEATUSDT,S07_compress_oi,big_B_24h,leaked,67,0.5643696581196581,0.23880597014925373,0.4231375069752986
BEATUSDT,S08_stall_oi,big_A_k3.0_24h,normal,32,0.0,0.0,0.0
BEATUSDT,S08_stall_oi,big_A_k3.0_24h,leaked,33,0.0,0.0,0.0
BEATUSDT,S08_stall_oi,big_B_24h,normal,32,0.5643696581196581,0.71875,1.2735447231424515
BEATUSDT,S08_stall_oi,big_B_24h,leaked,33,0.5643696581196581,0.7575757575757576,1.3423396291356537
