feature,target,mean_oos,pct_positive,n_folds,snr,metric
equal_highs_10,tgt_vol_expansion_5,0.043948738627637596,1.0,5,1.8537864544477929,AUC_dev
te_net_direction_z,tgt_vol_expansion_5,0.04284819863974905,1.0,5,1.7514488496769447,AUC_dev
liq_void_down_bps_z,tgt_vol_expansion_5,0.042623388516102936,0.8,5,1.5417595991958917,AUC_dev
uptick_pct,tgt_vol_expansion_5,0.04113714145457899,1.0,5,1.6755819886333725,AUC_dev
size_gini_z,tgt_vol_expansion_5,0.040962133164227886,0.8,5,0.9157885154893718,AUC_dev
close,tgt_vol_expansion_5,0.04071662143791788,0.6,5,0.6933002324995822,AUC_dev
taylor_asymmetry_curvature_ratio,tgt_vol_expansion_5,0.039881150543177535,0.8,5,0.8979482850810019,AUC_dev
vpin,tgt_vol_expansion_5,0.03795825442759411,0.8,5,1.0499911594204638,AUC_dev
price_tick_entropy_z,tgt_vol_expansion_5,0.03741785947266962,1.0,5,1.7479648638069527,AUC_dev
avg_sell_size,tgt_vol_expansion_5,0.03704095073417847,0.8,5,0.6392045649248368,AUC_dev
large_buy_pct,tgt_vol_expansion_5,0.03698965578248938,0.8,5,0.966661737016147,AUC_dev
