target,is_binary,n_features,features,trade_score,n_train,n_trade,metric,period,trade_start,trade_end
tgt_profitable_long_1,True,20,"is_swing_low, is_swing_high, low, predator_follows_prey_z, dist_to_resistance_10_bps, dist_to_resistance_5_bps, close_to_vwap, dist_to_r1_bps, hilbert_std_amplitude, dist_to_support_5_bps, cvd_close_vs_range, hour_sin, hilbert_amp_freq_corr_z, max_drawdown, taylor_price_a0, burstiness, side_switch_rate, resistance_touches_20, breakout_net_10, max_trades_per_second_z",0.18939777327935214,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_profitable_long_10,True,20,"low, trade_size_iqr, hilbert_std_amplitude, max_drawdown, gap_fill_rate_10, side_switch_rate, total_energy, resistance_touches_20, is_swing_high, path_length_over_range, kinetic_energy, volume_per_second_std, realized_vol, is_swing_low, turbulence, max_drawup, price_path_length, dist_to_support_5_bps, ofi_persistence, fvg_bearish_count_10",0.07472222222222225,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_profitable_long_3,True,20,"low, hilbert_std_amplitude, is_swing_low, max_drawdown, support_touches_20, trade_size_iqr, is_swing_high, taylor_price_a0, predator_follows_prey_z, cvd_close_vs_range, hour_sin, dist_to_r1_bps, fvg_bearish_count_10, dist_to_resistance_5_bps, quartile_count_ratio, time_to_high_pct, net_tick_direction, burstiness, close_to_vwap, hilbert_std_amplitude_z",0.14394829612220916,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_profitable_long_5,True,13,"low, hilbert_std_amplitude, trade_size_iqr, is_swing_low, is_swing_high, predator_follows_prey_z, max_drawdown, total_energy, hilbert_std_amplitude_z, hilbert_amp_freq_corr_z, monotonicity_score, max_drawup, gap_fill_rate_10",0.17523236741388726,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_profitable_short_1,True,20,"is_swing_low, is_swing_high, dist_to_resistance_10_bps, close_to_vwap, dist_to_resistance_5_bps, dist_to_support_5_bps, dist_to_r1_bps, cvd_close_vs_range, low, hilbert_amp_freq_corr_z, resistance_touches_20, predator_follows_prey_z, hour_sin, taylor_price_a0, hilbert_std_amplitude, side_switch_rate, dist_to_resistance_10_bps_z, max_drawdown, breakout_net_10, dist_to_support_20_bps",0.16525,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_profitable_short_10,True,20,"low, trade_size_iqr, hilbert_std_amplitude, side_switch_rate, gap_fill_rate_10, resistance_touches_20, max_drawdown, is_swing_high, total_energy, turbulence, kinetic_energy, path_length_over_range, is_swing_low, volume_per_second_std, max_drawup, max_sell_run, fvg_bearish_count_10, dist_to_support_5_bps, ofi_persistence, panic_sell_ratio",0.07527777777777767,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_profitable_short_3,True,20,"low, hilbert_std_amplitude, trade_size_iqr, is_swing_low, is_swing_high, max_drawdown, quartile_count_ratio, support_touches_20, taylor_price_a0, hour_sin, time_to_high_pct, cvd_close_vs_range, dist_to_r1_bps, burstiness, predator_follows_prey_z, fvg_bearish_count_10, net_tick_direction, dist_to_resistance_5_bps, close_to_vwap, cvd_min",0.16220779220779213,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_profitable_short_5,True,11,"low, hilbert_std_amplitude, trade_size_iqr, is_swing_low, is_swing_high, predator_follows_prey_z, max_drawdown, total_energy, hilbert_std_amplitude_z, monotonicity_score, hilbert_amp_freq_corr_z",0.1989553656220323,2160,180,AUC_dev,2,2025-01-28,2025-02-26
tgt_relative_ret_1,False,4,"is_swing_low, is_swing_high, dist_to_resistance_10_bps, resistance_touches_20",0.0889835066595871,2160,180,R2,2,2025-01-28,2025-02-26
tgt_tail_event_1,True,20,"volume_per_second_std, trade_rate_std, realized_vol, roll_spread, max_up_sweep_z, vol_price_feedback_z, eigen_ratio_z, max_trades_per_second_z, max_monotonic_run, burstiness, price_path_length, max_sell_run, max_monotonic_run_z, trade_time_uniformity, total_energy, wave_wavelength_z, te_price_to_volume, turbulence, hour_sin, max_sell_run_z",0.17799934619156588,2160,180,AUC_dev,2,2025-01-28,2025-02-26
