timestamp,datetime,flow_impact,flow_direction,flow_imbalance,burst_ratio,price,date
1747003622140,2025-05-11 22:47:02.140,1.4645853963621203,Sell,0.9804080482046582,1.0,171.53,2025-05-11
1747003902600,2025-05-11 22:51:42.600,0.7372517067962802,Sell,0.9905180914814534,0.9333333333333333,171.68,2025-05-11
1747003931967,2025-05-11 22:52:11.967,1.1657809372627508,Sell,0.984375,1.0,171.66,2025-05-11
1747004527262,2025-05-11 23:02:07.262,0.8913996528084268,Sell,0.774653662536977,1.0,172.14,2025-05-11
1747004644532,2025-05-11 23:04:04.532,0.7266441303011679,Buy,1.0,1.0,172.26,2025-05-11
1747004943076,2025-05-11 23:09:03.076,1.0538497874350496,Buy,1.0,1.0,172.48,2025-05-11
1747004951645,2025-05-11 23:09:11.645,0.7271207796549153,Sell,0.8579453989947109,0.6333333333333333,172.52,2025-05-11
1747005853807,2025-05-11 23:24:13.807,0.9052747137853517,Buy,0.999884513223236,0.9666666666666667,172.57,2025-05-11
1747006728672,2025-05-11 23:38:48.672,0.614310612299619,Buy,0.996390004045685,0.9666666666666667,172.33,2025-05-11
1747006729256,2025-05-11 23:38:49.256,0.8973224612537588,Buy,1.0,1.0,172.39,2025-05-11
1747007287741,2025-05-11 23:48:07.741,1.0262482168330957,Buy,1.0,1.0,172.96,2025-05-11
1747007330896,2025-05-11 23:48:50.896,0.7349034277425757,Sell,0.9840272052761748,1.0,172.9,2025-05-11
1747008197303,2025-05-12 00:03:17.303,1.3515001898974552,Buy,1.0,1.0,173.56,2025-05-12
1747008197303,2025-05-12 00:03:17.303,2.7286365362704137,Buy,1.0,1.0,173.59,2025-05-12
1747008197303,2025-05-12 00:03:17.303,2.538454234713255,Buy,1.0,1.0,173.62,2025-05-12
1747008197303,2025-05-12 00:03:17.303,2.2645271553361184,Buy,1.0,1.0,173.65,2025-05-12
1747008197313,2025-05-12 00:03:17.313,2.2115457652867447,Buy,0.952798155522951,0.8666666666666667,173.52,2025-05-12
1747008284512,2025-05-12 00:04:44.512,1.0501967069794549,Sell,0.7389468604861571,0.9333333333333333,173.45,2025-05-12
1747008368233,2025-05-12 00:06:08.233,0.7772572572572573,Buy,1.0,1.0,173.77,2025-05-12
1747008368233,2025-05-12 00:06:08.233,0.954114114114114,Buy,1.0,1.0,173.8,2025-05-12
1747008368244,2025-05-12 00:06:08.244,0.7274474474474474,Buy,0.9128237523689198,1.0,173.8,2025-05-12
1747008368244,2025-05-12 00:06:08.244,0.8337137137137135,Buy,1.0,1.0,173.83,2025-05-12
1747008380855,2025-05-12 00:06:20.855,0.8621967926504956,Buy,0.9366458503031949,1.0,173.82,2025-05-12
1747008381299,2025-05-12 00:06:21.299,0.6343778944118554,Buy,0.9648577575902462,1.0,173.85,2025-05-12
1747008381299,2025-05-12 00:06:21.299,0.9838684779252856,Buy,1.0,1.0,173.89,2025-05-12
1747008385469,2025-05-12 00:06:25.469,11.764352104975394,Buy,0.8152444425697052,0.6666666666666666,173.84,2025-05-12
1747008388249,2025-05-12 00:06:28.249,0.8611195158850227,Buy,0.973875852502601,0.9666666666666667,173.84,2025-05-12
1747008853013,2025-05-12 00:14:13.013,1.3996614632311453,Buy,0.9858572381587727,0.9666666666666667,174.26,2025-05-12
1747008866949,2025-05-12 00:14:26.949,0.6419148568465924,Buy,0.740142109783712,1.0,174.3,2025-05-12
1747009054633,2025-05-12 00:17:34.633,1.1225091692819602,Sell,0.9963015264608971,1.0,174.27,2025-05-12
1747009056686,2025-05-12 00:17:36.686,0.6427088369976391,Sell,0.8845752887702764,1.0,174.32,2025-05-12
